platform,campaign,level,bin_us,kernel_sigma_bins,upper_quantile,assignment_hash,assignments_identical,B_us,B_deviation_pct,Rz_us,Rz_deviation_pct,Rlate_us,Rlate_deviation_pct
ESP32 deep,deep,44,8,0.9,0.75,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,8,0.9,0.8,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,8,0.9,0.85,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,8,1.2,0.75,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,8,1.2,0.8,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,8,1.2,0.85,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,8,1.5,0.75,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,8,1.5,0.8,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,8,1.5,0.85,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,10,0.9,0.75,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,10,0.9,0.8,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,10,0.9,0.85,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
ESP32 deep,deep,44,10,1.2,0.75,39972dc6331a7c41167e2c2b3eafe01b8ac46b890addd9aefd4badee5f51bcfb,True,21514.140538231524,0.0,7476.673503514205,0.0,8929.929391838406,0.0
