platform,level,repetition,sample_size,seed,B_upper_us,C_upper_us,n_baseline,n_early,n_late_band,D821_us
ESP32 deep,44,0,250,204907,21520.0,8949.0,42,28,20,7359700.0
ESP32 deep,44,0,500,204907,21520.0,8951.0,95,50,37,7361340.0
ESP32 deep,44,0,1000,204907,21521.0,8957.0,203,91,74,7366261.0
ESP32 deep,44,0,2000,204907,21521.0,10547.0,432,185,149,8670061.0
ESP32 deep,44,0,5000,204907,21522.0,10556.0,1132,497,378,8677442.0
ESP32 deep,44,0,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,1,250,204907,21520.0,8950.0,59,26,8,7360520.0
ESP32 deep,44,1,500,204907,21520.0,10550.0,116,45,27,8672520.0
ESP32 deep,44,1,1000,204907,21520.0,10550.0,234,114,53,8672520.0
ESP32 deep,44,1,2000,204907,21520.0,10550.0,477,213,119,8672520.0
ESP32 deep,44,1,5000,204907,21521.0,10556.0,1180,528,332,8677441.0
ESP32 deep,44,1,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,2,250,204907,21520.0,8957.0,69,21,22,7366260.0
ESP32 deep,44,2,500,204907,21520.0,8957.0,130,47,39,7366260.0
ESP32 deep,44,2,1000,204907,21520.0,8958.0,243,101,86,7367080.0
ESP32 deep,44,2,2000,204907,21521.0,8958.0,466,216,169,7367081.0
ESP32 deep,44,2,5000,204907,21521.0,8958.0,1193,533,373,7367081.0
ESP32 deep,44,2,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,3,250,204907,21520.0,8951.0,51,28,20,7361340.0
ESP32 deep,44,3,500,204907,21520.0,8951.0,109,55,43,7361340.0
ESP32 deep,44,3,1000,204907,21521.0,8954.0,230,102,73,7363801.0
ESP32 deep,44,3,2000,204907,21521.0,8958.0,467,211,144,7367081.0
ESP32 deep,44,3,5000,204907,21521.0,8958.0,1153,529,374,7367081.0
ESP32 deep,44,3,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,4,250,204907,21520.0,8953.0,67,30,20,7362980.0
ESP32 deep,44,4,500,204907,21520.0,8957.0,119,60,41,7366260.0
ESP32 deep,44,4,1000,204907,21520.0,8957.0,234,112,81,7366260.0
ESP32 deep,44,4,2000,204907,21521.0,10546.0,457,215,155,8669241.0
ESP32 deep,44,4,5000,204907,21521.0,10556.0,1190,533,351,8677441.0
ESP32 deep,44,4,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,5,250,204907,21520.0,8947.0,50,28,19,7358060.0
ESP32 deep,44,5,500,204907,21520.0,8955.0,110,58,36,7364620.0
ESP32 deep,44,5,1000,204907,21520.0,8955.0,212,120,68,7364620.0
ESP32 deep,44,5,2000,204907,21522.0,8958.0,433,240,143,7367082.0
ESP32 deep,44,5,5000,204907,21522.0,10556.0,1143,543,361,8677442.0
ESP32 deep,44,5,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,6,250,204907,21521.0,8957.0,55,28,23,7366261.0
ESP32 deep,44,6,500,204907,21521.0,8957.0,115,50,45,7366261.0
ESP32 deep,44,6,1000,204907,21521.0,8957.0,229,101,88,7366261.0
ESP32 deep,44,6,2000,204907,21521.0,10550.0,464,203,164,8672521.0
ESP32 deep,44,6,5000,204907,21521.0,10551.0,1179,511,385,8673341.0
ESP32 deep,44,6,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,7,250,204907,21520.0,8950.0,69,21,16,7360520.0
ESP32 deep,44,7,500,204907,21520.0,8950.0,116,53,43,7360520.0
ESP32 deep,44,7,1000,204907,21521.0,8958.0,226,106,84,7367081.0
ESP32 deep,44,7,2000,204907,21521.0,8958.0,469,202,154,7367081.0
ESP32 deep,44,7,5000,204907,21521.0,10556.0,1191,518,362,8677441.0
ESP32 deep,44,7,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,8,250,204907,21520.0,10546.0,54,28,22,8669240.0
ESP32 deep,44,8,500,204907,21521.0,10546.0,113,52,37,8669241.0
ESP32 deep,44,8,1000,204907,21521.0,10546.0,220,101,80,8669241.0
ESP32 deep,44,8,2000,204907,21521.0,10547.0,457,187,145,8670061.0
ESP32 deep,44,8,5000,204907,21521.0,10547.0,1180,500,351,8670061.0
ESP32 deep,44,8,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,9,250,204907,21522.0,8947.0,67,22,14,7358062.0
ESP32 deep,44,9,500,204907,21522.0,10546.0,124,42,33,8669242.0
ESP32 deep,44,9,1000,204907,21522.0,10546.0,224,92,62,8669242.0
ESP32 deep,44,9,2000,204907,21522.0,10547.0,460,198,128,8670062.0
ESP32 deep,44,9,5000,204907,21522.0,10556.0,1172,526,345,8677442.0
ESP32 deep,44,9,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,10,250,204907,21520.0,10555.0,55,26,21,8676620.0
ESP32 deep,44,10,500,204907,21520.0,10555.0,116,58,37,8676620.0
ESP32 deep,44,10,1000,204907,21520.0,10555.0,226,120,83,8676620.0
ESP32 deep,44,10,2000,204907,21521.0,10555.0,451,215,156,8676621.0
ESP32 deep,44,10,5000,204907,21521.0,10556.0,1190,524,341,8677441.0
ESP32 deep,44,10,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,11,250,204907,21521.0,8953.0,52,29,19,7362981.0
ESP32 deep,44,11,500,204907,21521.0,8953.0,114,53,41,7362981.0
ESP32 deep,44,11,1000,204907,21521.0,8957.0,229,107,67,7366261.0
ESP32 deep,44,11,2000,204907,21521.0,8958.0,454,194,152,7367081.0
ESP32 deep,44,11,5000,204907,21521.0,10551.0,1178,509,365,8673341.0
ESP32 deep,44,11,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,12,250,204907,21521.0,8952.0,56,29,18,7362161.0
ESP32 deep,44,12,500,204907,21521.0,10546.0,116,59,44,8669241.0
ESP32 deep,44,12,1000,204907,21521.0,10546.0,228,111,83,8669241.0
ESP32 deep,44,12,2000,204907,21521.0,10547.0,486,198,155,8670061.0
ESP32 deep,44,12,5000,204907,21522.0,10551.0,1180,554,365,8673342.0
ESP32 deep,44,12,10000,204907,21522.0,10556.0,2341,1054,720,8677442.0
ESP32 deep,44,13,250,204907,21520.0,8953.0,55,41,25,7362980.0
ESP32 deep,44,13,500,204907,21520.0,8953.0,112,65,42,7362980.0
