platform,sample_size,repetitions,C_upper_us_p05,C_upper_us_median,C_upper_us_p95,D814_us_p05,D814_us_median,D814_us_p95
ESP32 deep,250,1000,8947.0,8953.0,10548.1,7295431.0,7300310.0,8597125.25
ESP32 deep,500,1000,8951.0,8956.0,10551.2,7298683.0,7302749.0,8599646.55
ESP32 deep,1000,1000,8953.0,8957.0,10555.0,7300310.0,7303563.0,8602736.0
ESP32 deep,2000,1000,8957.0,10547.0,10556.0,7303561.0,8596232.0,8603549.0
ESP32 deep,5000,1000,10546.0,10551.0,10556.0,8595420.0,8599485.0,8603550.0
ESP32 deep,10000,1000,10556.0,10556.0,10556.0,8603550.0,8603550.0,8603550.0
RP2040 deep,250,1000,35016.95,35058.0,41479.0,28549023.5,28582429.0,33802672.35
RP2040 deep,500,1000,35043.0,35075.5,41491.0,28570224.5,28596645.5,33812441.15
RP2040 deep,1000,1000,35065.0,35100.0,41555.0,28588115.8,28616557.0,33864479.0
RP2040 deep,2000,1000,35080.0,41471.0,41561.0,28600323.7,33796197.0,33869377.0
RP2040 deep,5000,1000,35130.0,41555.5,41564.0,28640968.0,33864900.5,33871816.0
RP2040 deep,10000,1000,41564.0,41564.0,41564.0,33871816.0,33871816.0,33871816.0
