source_record_1based,algorithm,operation,security_level,time_us,run_number
7007,ML-DSA,sign,87,224704,7
7025,ML-DSA,sign,87,224780,25
7026,ML-DSA,sign,87,224731,26
7058,ML-DSA,sign,87,224706,58
7059,ML-DSA,sign,87,224761,59
7061,ML-DSA,sign,87,224712,61
7063,ML-DSA,sign,87,224710,63
7070,ML-DSA,sign,87,224801,70
7085,ML-DSA,sign,87,224700,85
7089,ML-DSA,sign,87,224772,89
7094,ML-DSA,sign,87,224760,94
7109,ML-DSA,sign,87,224757,109
7116,ML-DSA,sign,87,224819,116
7132,ML-DSA,sign,87,224753,132
7134,ML-DSA,sign,87,224661,134
7173,ML-DSA,sign,87,224719,173
7174,ML-DSA,sign,87,224674,174
7186,ML-DSA,sign,87,224661,186
7194,ML-DSA,sign,87,224857,194
7197,ML-DSA,sign,87,224722,197
7230,ML-DSA,sign,87,224812,230
7242,ML-DSA,sign,87,224736,242
7251,ML-DSA,sign,87,224847,251
7255,ML-DSA,sign,87,224799,255
7273,ML-DSA,sign,87,224699,273
7283,ML-DSA,sign,87,224708,283
7316,ML-DSA,sign,87,224812,316
7329,ML-DSA,sign,87,224798,329
7330,ML-DSA,sign,87,224693,330
7376,ML-DSA,sign,87,224676,376
7377,ML-DSA,sign,87,224767,377
7389,ML-DSA,sign,87,224817,389
7404,ML-DSA,sign,87,224709,404
7414,ML-DSA,sign,87,224700,414
7423,ML-DSA,sign,87,224684,423
7439,ML-DSA,sign,87,224753,439
7443,ML-DSA,sign,87,224710,443
7444,ML-DSA,sign,87,224828,444
7451,ML-DSA,sign,87,224739,451
7452,ML-DSA,sign,87,224748,452
7456,ML-DSA,sign,87,224807,456
7471,ML-DSA,sign,87,224777,471
7477,ML-DSA,sign,87,224766,477
7481,ML-DSA,sign,87,224796,481
7504,ML-DSA,sign,87,224801,504
7506,ML-DSA,sign,87,224649,506
7515,ML-DSA,sign,87,224769,515
7537,ML-DSA,sign,87,224690,537
7540,ML-DSA,sign,87,224641,540
7549,ML-DSA,sign,87,224767,549
7554,ML-DSA,sign,87,224669,554
7556,ML-DSA,sign,87,224679,556
7557,ML-DSA,sign,87,224776,557
7573,ML-DSA,sign,87,224785,573
7576,ML-DSA,sign,87,224724,576
7577,ML-DSA,sign,87,224669,577
7594,ML-DSA,sign,87,224698,594
7622,ML-DSA,sign,87,224705,622
7625,ML-DSA,sign,87,224785,625
7634,ML-DSA,sign,87,224670,634
7639,ML-DSA,sign,87,224738,639
7680,ML-DSA,sign,87,224796,680
7707,ML-DSA,sign,87,224803,707
7713,ML-DSA,sign,87,224670,713
7717,ML-DSA,sign,87,224756,717
7726,ML-DSA,sign,87,224822,726
7730,ML-DSA,sign,87,224666,730
7731,ML-DSA,sign,87,224727,731
7734,ML-DSA,sign,87,224672,734
7749,ML-DSA,sign,87,224693,749
7750,ML-DSA,sign,87,224796,750
7755,ML-DSA,sign,87,224650,755
7757,ML-DSA,sign,87,224692,757
7769,ML-DSA,sign,87,224698,769
7770,ML-DSA,sign,87,224761,770
7781,ML-DSA,sign,87,224817,781
7784,ML-DSA,sign,87,224645,784
7785,ML-DSA,sign,87,224775,785
7803,ML-DSA,sign,87,224695,803
7806,ML-DSA,sign,87,224744,806
7818,ML-DSA,sign,87,224707,818
7829,ML-DSA,sign,87,224712,829
7855,ML-DSA,sign,87,224842,855
7872,ML-DSA,sign,87,224712,872
7911,ML-DSA,sign,87,224817,911
7912,ML-DSA,sign,87,224673,912
7916,ML-DSA,sign,87,224684,916
7923,ML-DSA,sign,87,224663,923
7924,ML-DSA,sign,87,224703,924
7927,ML-DSA,sign,87,224735,927
7935,ML-DSA,sign,87,224775,935
7936,ML-DSA,sign,87,224688,936
7959,ML-DSA,sign,87,224688,959
7964,ML-DSA,sign,87,224848,964
7996,ML-DSA,sign,87,224649,996
