board,set,row_index,key,boot,residual_us,calibration_upper_us
esp32_1,44,26874,9,2,3326.434993718707,3208.417572730432
esp32_1,44,38554,3,3,3211.2842550346686,3208.417572730432
esp32_1,44,42113,3,4,3339.691149225968,3208.417572730432
esp32_1,44,49968,0,4,4426.424513834441,3208.417572730432
rp2040_1,44,35079,6,3,11261.997864863137,11261.451724002953
rp2040_2,44,26184,8,2,11168.31917154137,11071.743085659342
rp2040_2,44,27402,9,2,11218.244404777535,11071.743085659342
rp2040_2,44,35171,5,3,11088.814325785293,11071.743085659342
rp2040_2,44,35536,0,3,11207.743085659342,11071.743085659342
rp2040_2,44,36922,9,3,11163.743085659342,11071.743085659342
rp2040_2,44,38372,0,3,11179.166999777313,11071.743085659342
rp2040_2,44,40651,1,4,11338.095759651274,11071.743085659342
rp2040_2,44,47637,5,4,11226.105451163457,11071.743085659342
rp2040_1,65,21213,9,2,8787.086131947115,8699.804423791706
rp2040_1,65,22008,9,2,17027.56540755066,8699.804423791706
rp2040_1,65,36357,7,3,8743.267153751163,8699.804423791706
rp2040_1,65,39210,2,3,8759.217843579245,8699.804423791706
rp2040_1,65,41021,0,4,8858.968899951782,8699.804423791706
rp2040_1,65,47316,7,4,8710.741877104389,8699.804423791706
rp2040_1,87,4065,8,0,11506.496814632439,11437.092261631333
rp2040_1,87,11062,8,1,11496.700869192951,11437.092261631333
rp2040_1,87,21958,9,2,11449.769064527005,11437.092261631333
rp2040_1,87,29435,8,2,11444.24536898185,11437.092261631333
rp2040_1,87,32661,1,3,11456.973119087343,11437.092261631333
rp2040_1,87,41905,4,4,22708.49681463244,11437.092261631333
rp2040_1,87,47689,4,4,22650.513797035674,11437.092261631333
rp2040_1,87,47692,7,4,22138.492992791813,11437.092261631333
rp2040_1,87,49300,7,4,11494.381493929075,11437.092261631333
rp2040_2,87,32116,5,3,22409.782617104822,22394.08962980751
