invocation,candidate,exit,duration_us
0,1,accept,10604
1,1,accept,10603
2,1,z,7539
2,2,accept,10548
3,1,accept,10603
4,1,w0,8993
4,2,z,7464
4,3,w0,8905
4,4,z,7471
4,5,accept,10540
5,1,w0,8992
5,2,accept,10540
6,1,accept,10603
7,1,accept,10604
8,1,z,7523
8,2,w0,8916
8,3,z,7470
8,4,z,7473
8,5,w0,8905
8,6,w0,8941
8,7,z,7458
8,8,z,7455
8,9,z,7488
8,10,z,7471
8,11,w0,8929
8,12,z,7447
8,13,z,7461
8,14,z,7461
8,15,accept,10540
9,1,w0,8993
9,2,w0,8938
9,3,z,7477
9,4,z,7453
9,5,w0,8926
9,6,w0,8928
9,7,z,7456
9,8,w0,8924
9,9,accept,10541
10,1,z,7527
10,2,z,7455
10,3,w0,8922
10,4,z,7479
10,5,z,7463
10,6,w0,8906
10,7,z,7465
10,8,z,7481
10,9,z,7471
10,10,w0,8922
10,11,w0,8923
10,12,z,7453
10,13,w0,8942
10,14,accept,10540
11,1,accept,10603
12,1,w0,8987
12,2,z,7466
12,3,z,7477
12,4,z,7485
12,5,accept,10540
13,1,z,7525
13,2,z,7463
13,3,accept,10548
14,1,z,7520
14,2,w0,8915
14,3,z,7454
14,4,accept,10540
15,1,accept,10604
16,1,w0,8975
16,2,z,7486
16,3,z,7486
16,4,w0,8901
16,5,z,7483
16,6,accept,10541
17,1,w0,8986
17,2,w0,8913
17,3,w0,8914
17,4,w0,8906
17,5,accept,10540
18,1,w0,9005
18,2,z,7482
18,3,z,7460
18,4,accept,10541
19,1,w0,8991
19,2,accept,10541
20,1,accept,10603
21,1,w0,8993
21,2,w0,8912
21,3,z,7472
21,4,w0,8917
21,5,z,7459
21,6,w0,8932
21,7,z,7450
21,8,w0,8901
21,9,w0,8912
21,10,z,7454
21,11,w0,8913
21,12,accept,10540
22,1,z,7535
22,2,w0,8940
22,3,w0,8936
22,4,z,7454
22,5,accept,10539
23,1,accept,10603
24,1,z,7524
24,2,w0,8919
24,3,w0,8919
24,4,z,7459
24,5,accept,10540
25,1,accept,10615
26,1,accept,10603
27,1,z,7512
27,2,z,7479
27,3,z,7480
27,4,w0,8946
27,5,w0,8927
27,6,accept,10540
28,1,w0,9015
28,2,z,7458
28,3,accept,10540
29,1,w0,8980
29,2,z,7466
29,3,z,7479
29,4,z,7472
29,5,z,7449
29,6,w0,8918
29,7,accept,10540
30,1,accept,10603
31,1,accept,10603
32,1,z,7551
32,2,accept,10547
33,1,w0,8988
33,2,w0,8934
33,3,z,7472
33,4,w0,8915
33,5,z,7471
33,6,accept,10540
34,1,z,7522
34,2,w0,8924
34,3,w0,8922
34,4,hint,10540
34,5,z,7463
