invocation,candidate,component_us
0,1,1422
1,1,1423
2,2,1422
3,1,1423
4,1,1426
4,3,1415
4,5,1415
5,1,1423
5,2,1415
6,1,1423
7,1,1422
8,2,1422
8,5,1414
8,6,1415
8,11,1419
8,15,1415
9,1,1422
9,2,1415
9,5,1415
9,6,1414
9,8,1415
9,9,1419
10,3,1423
10,6,1415
10,10,1415
10,11,1415
10,13,1415
10,14,1415
11,1,1423
12,1,1423
12,5,1415
13,3,1423
14,2,1423
14,4,1418
15,1,1422
16,1,1423
16,4,1415
16,6,1414
17,1,1422
17,2,1415
17,3,1414
17,4,1415
17,5,1419
18,1,1422
18,4,1414
19,1,1427
19,2,1415
20,1,1427
21,1,1426
21,2,1415
21,4,1415
21,6,1415
21,8,1415
21,9,1415
21,11,1414
21,12,1415
22,2,1427
22,3,1415
22,5,1415
23,1,1422
24,2,1422
24,3,1414
24,5,1414
25,1,1423
26,1,1423
27,4,1423
27,5,1415
27,6,1415
28,1,1423
28,3,1414
29,1,1427
29,6,1419
29,7,1415
30,1,1423
31,1,1423
32,2,1423
33,1,1427
33,2,1414
33,4,1415
33,6,1415
34,2,1422
34,3,1415
34,4,1415
34,6,1415
35,2,1423
35,3,1415
35,6,1415
35,8,1414
35,9,1415
35,11,1415
35,12,1415
36,2,1422
36,3,1414
36,4,1415
36,5,1414
37,1,1423
37,2,1419
37,4,1415
37,5,1414
37,6,1415
38,7,1427
38,14,1414
38,15,1414
38,16,1415
38,17,1419
38,19,1414
39,3,1423
40,1,1427
41,1,1427
41,2,1419
42,2,1422
42,3,1414
43,1,1423
43,2,1414
44,1,1422
45,4,1427
45,6,1415
45,7,1415
46,1,1422
47,2,1422
47,4,1419
47,5,1415
47,7,1415
48,1,1423
49,1,1423
49,6,1415
49,8,1415
49,9,1415
49,10,1414
49,11,1415
49,12,1419
49,14,1415
49,16,1415
50,4,1422
50,5,1419
50,8,1415
50,11,1415
51,5,1422
51,7,1414
51,8,1414
51,9,1415
52,1,1422
52,2,1414
52,3,1414
52,4,1415
52,6,1414
53,1,1423
54,1,1423
55,2,1422
55,3,1415
55,4,1419
55,6,1415
55,7,1414
55,8,1415
55,9,1414
56,1,1423
57,1,1423
58,1,1423
58,4,1415
58,6,1415
58,7,1415
58,10,1414
58,11,1419
