rep,architecture,period_ms,reports,late_reports,acquisition_releases,acquisition_failures,verified_digests,drops,censored,max_pending,exception_truncation
1,inline,100,6000,375,60000,21187,6000,0,0,1,20187
1,inline,250,2400,0,60000,8444,2400,0,0,1,7444
1,inline,1000,600,0,60000,2108,600,0,0,1,1108
1,worker,100,6000,375,60000,0,6000,0,0,1,0
1,worker,250,2400,0,60000,0,2400,0,0,1,0
1,worker,1000,600,0,60000,0,600,0,0,1,0
2,inline,100,6000,281,60000,19958,6000,0,0,1,18958
2,inline,250,2400,0,60000,7956,2400,0,0,1,6956
2,inline,1000,600,0,60000,1988,600,0,0,1,988
2,worker,100,6000,281,60000,0,6000,0,0,1,0
2,worker,250,2400,0,60000,0,2400,0,0,1,0
2,worker,1000,600,0,60000,0,600,0,0,1,0
3,inline,100,6000,563,60000,21478,6000,0,0,1,20478
3,inline,250,2400,0,60000,8429,2400,0,0,1,7429
3,inline,1000,600,0,60000,2102,600,0,0,1,1102
3,worker,100,6000,563,60000,0,6000,0,0,1,0
3,worker,250,2400,0,60000,0,2400,0,0,1,0
3,worker,1000,600,0,60000,0,600,0,0,1,0
