set,percentile,quantile,ordered_key_resamples,probability
44,95.0,12,10000000000,1.0
44,99.0,18,9999999769,0.9999999769
44,99.0,19,231,2.31e-08
44,99.9,26,1,1e-10
44,99.9,27,9984565861,0.9984565861
44,99.9,28,15434138,0.0015434138
65,95.0,14,9999436080,0.999943608
65,95.0,15,563920,5.6392e-05
65,99.0,21,30047227,0.0030047227
65,99.0,22,9965483429,0.9965483429
65,99.0,23,4469344,0.0004469344
65,99.9,29,1,1e-10
65,99.9,30,602720,6.0272e-05
65,99.9,31,117087347,0.0117087347
65,99.9,32,5779608110,0.577960811
65,99.9,33,4102409809,0.4102409809
65,99.9,34,292013,2.92013e-05
87,95.0,11,10000000000,1.0
87,99.0,16,9791808292,0.9791808292
87,99.0,17,208191708,0.0208191708
87,99.9,22,971,9.71e-08
87,99.9,23,1190118839,0.1190118839
87,99.9,24,8246897726,0.8246897726
87,99.9,25,562976538,0.0562976538
87,99.9,26,5926,5.926e-07
