set,key,signatures,K_sum,K_sum_squares,z_rejections,w0_rejections,ct0_rejections,hint_rejections
44,0,15000,64903,498751,29457,20162,0,284
44,1,15000,65505,509655,29734,20582,0,189
44,2,15000,65435,505425,29963,20247,0,225
44,3,15000,65912,515540,30146,20579,0,187
44,4,15000,65083,500727,29699,20202,0,182
44,5,15000,66161,517897,30240,20593,0,328
44,6,15000,65751,505919,30207,20189,0,355
44,7,15000,65262,501656,29886,20146,0,230
44,8,15000,65665,508963,30179,20170,0,316
44,9,15000,64905,497839,29738,19919,0,248
65,0,10000,51983,496895,19897,22027,0,59
65,1,10000,51196,467066,19512,21615,0,69
65,2,10000,51728,485804,19765,21901,0,62
65,3,10000,52000,487890,19961,22001,0,38
65,4,10000,51115,469177,19357,21713,0,45
65,5,10000,50656,462560,19208,21414,0,34
65,6,10000,51010,468730,19305,21670,0,35
65,7,10000,51723,483697,19779,21922,0,22
65,8,10000,51651,484929,19678,21918,0,55
65,9,10000,50970,465438,19447,21494,0,29
87,0,10000,39482,272822,13573,15842,0,67
87,1,10000,39570,272950,13405,16065,0,100
87,2,10000,38975,263815,13170,15727,0,78
87,3,10000,38927,268739,13110,15762,0,55
87,4,10000,38974,266222,13137,15738,0,99
87,5,10000,39005,265989,13221,15692,0,92
87,6,10000,39203,273309,13354,15796,0,53
87,7,10000,38914,263788,12956,15863,0,95
87,8,10000,39411,271251,13379,15938,0,94
87,9,10000,39255,269519,13165,16002,0,88
