source,set,signatures,percentile,nearest_rank,empirical_quantile,corrected_reference,difference,iid_bootstrap_mean,iid_bootstrap_se,iid_ci_lo,iid_ci_hi,key_clusters,cluster_bootstrap_mean,cluster_bootstrap_se,cluster_ci_lo,cluster_ci_hi
devices,44,150000,95.0,142500,12,12,0,12.0,4.808125602088988e-17,12,12,10,12.0,0.0,12,12
devices,44,150000,99.0,148500,18,18,0,18.022927340017475,0.14967189815459755,18,18,10,18.0000000231,0.00015198683978025863,18,18
devices,44,150000,99.9,149850,27,27,0,27.016868480400362,0.21423794665895787,27,28,10,27.0015434137,0.03925597755948325,27,27
devices,65,100000,95.0,95000,14,14,0,14.000195445576972,0.013978818905760164,14,14,10,14.000056392,0.0075092489599384036,14,14
devices,65,100000,99.0,99000,22,22,0,21.9974694103418,0.05244477601400919,22,22,10,21.9974422117,0.05869510046854322,22,22
devices,65,100000,99.9,99900,32,32,0,32.38540023751122,0.5856856009542716,31,33,10,32.3984701045,0.5133509379749481,32,33
devices,87,100000,95.0,95000,11,11,0,10.99998351623287,0.004059987120157903,11,11,10,11.0,0.0,11,11
devices,87,100000,99.0,99000,16,16,0,16.01391054717051,0.11711978418693664,16,16,10,16.0208191708,0.14277861509063752,16,16
devices,87,100000,99.9,99900,24,24,0,23.93409807628126,0.49843445146820425,23,25,10,23.9372867609,0.41397988615582065,23,25
x86,44,10000,95.0,9500,12,12,0,12.002140630928189,0.047724189402364094,12,12,,,,,
x86,44,10000,99.0,9900,18,18,0,17.68314604638085,0.5012393710934314,17,18,,,,,
x86,44,10000,99.9,9990,27,27,0,26.76810494549445,1.173141641052903,24,29,,,,,
x86,65,10000,95.0,9500,14,14,0,14.279338421829586,0.44867495734267154,14,15,,,,,
x86,65,10000,99.0,9900,22,22,0,21.568550973065364,0.5529328609933191,21,22,,,,,
x86,65,10000,99.9,9990,33,32,1,33.25897363403398,2.558443764901294,30,37,,,,,
x86,87,10000,95.0,9500,11,11,0,10.989992571191166,0.09955340528204094,11,11,,,,,
x86,87,10000,99.0,9900,16,16,0,16.48892043183566,0.5569210072782474,16,17,,,,,
x86,87,10000,99.9,9990,23,24,-1,23.350939704706285,1.0593632025907864,22,25,,,,,
