board,set,key,boot,n,mean_K,p_K1,mean_ms
esp32_1,44,0,0,1000,4.16,0.245,47.106358
esp32_1,44,0,1,1000,4.257,0.246,47.826959
esp32_1,44,0,2,1000,4.125,0.263,46.799557
esp32_1,44,0,3,1000,4.247,0.234,47.781341999999995
esp32_1,44,0,4,1000,4.416,0.227,49.140938999999996
esp32_1,44,1,0,1000,4.33,0.263,48.501819000000005
esp32_1,44,1,1,1000,4.3,0.222,48.295958
esp32_1,44,1,2,1000,4.339,0.234,48.588591
esp32_1,44,1,3,1000,4.48,0.215,49.68004
esp32_1,44,1,4,1000,4.459,0.222,49.577006999999995
esp32_1,44,2,0,1000,4.387,0.215,49.046057999999995
esp32_1,44,2,1,1000,4.114,0.245,46.854815
esp32_1,44,2,2,1000,4.389,0.224,49.091982
esp32_1,44,2,3,1000,4.344,0.236,48.74958
esp32_1,44,2,4,1000,4.496,0.203,49.903669
esp32_1,44,3,0,1000,4.381,0.224,49.028368
esp32_1,44,3,1,1000,4.498,0.233,50.076864
esp32_1,44,3,2,1000,4.598,0.227,50.773598
esp32_1,44,3,3,1000,4.228,0.24,47.829167
esp32_1,44,3,4,1000,4.492,0.243,49.973859
esp32_1,44,4,0,1000,4.427,0.204,49.340576999999996
esp32_1,44,4,1,1000,4.217,0.239,47.508165999999996
esp32_1,44,4,2,1000,4.316,0.247,48.402021999999995
esp32_1,44,4,3,1000,4.33,0.234,48.563203
esp32_1,44,4,4,1000,4.291,0.23,48.1842
esp32_1,44,5,0,1000,4.484,0.233,49.805371
esp32_1,44,5,1,1000,4.493,0.22,49.880919999999996
esp32_1,44,5,2,1000,4.602,0.232,50.722547
esp32_1,44,5,3,1000,4.386,0.232,48.928486
esp32_1,44,5,4,1000,4.398,0.225,49.08289499999999
esp32_1,44,6,0,1000,4.267,0.21,48.073257
esp32_1,44,6,1,1000,4.426,0.226,49.373290000000004
esp32_1,44,6,2,1000,4.505,0.207,50.021949
esp32_1,44,6,3,1000,4.43,0.244,49.395194000000004
esp32_1,44,6,4,1000,4.46,0.204,49.633392
esp32_1,44,7,0,1000,4.501,0.229,49.826317
esp32_1,44,7,1,1000,4.152,0.24,47.012062
esp32_1,44,7,2,1000,4.154,0.272,47.097028
esp32_1,44,7,3,1000,4.354,0.219,48.586604
esp32_1,44,7,4,1000,4.419,0.217,49.13547
esp32_1,44,8,0,1000,4.33,0.237,48.616233
esp32_1,44,8,1,1000,4.263,0.227,48.052286
esp32_1,44,8,2,1000,4.615,0.209,50.924245
esp32_1,44,8,3,1000,4.52,0.224,50.073456
esp32_1,44,8,4,1000,4.468,0.207,49.726794999999996
esp32_1,44,9,0,1000,4.459,0.226,49.850182000000004
esp32_1,44,9,1,1000,4.241,0.234,48.077284
esp32_1,44,9,2,1000,4.207,0.237,47.789887
esp32_1,44,9,3,1000,4.461,0.209,49.868193
esp32_1,44,9,4,1000,4.383,0.237,49.264977
rp2040_1,44,0,0,1000,4.367,0.235,164.51894000000001
rp2040_1,44,0,1,1000,4.266,0.222,161.86532699999998
rp2040_1,44,0,2,1000,4.452,0.232,166.932559
rp2040_1,44,0,3,1000,4.457,0.229,167.199714
rp2040_1,44,0,4,1000,4.414,0.232,166.081671
rp2040_1,44,1,0,1000,4.18,0.244,159.29968599999998
rp2040_1,44,1,1,1000,4.331,0.243,163.532604
rp2040_1,44,1,2,1000,4.439,0.225,166.77014499999999
rp2040_1,44,1,3,1000,4.623,0.208,171.488623
rp2040_1,44,1,4,1000,4.286,0.23,162.421817
rp2040_1,44,2,0,1000,4.395,0.215,165.37972299999998
rp2040_1,44,2,1,1000,4.456,0.204,167.107056
rp2040_1,44,2,2,1000,4.393,0.219,165.244859
rp2040_1,44,2,3,1000,4.461,0.245,167.143845
rp2040_1,44,2,4,1000,4.375,0.218,164.479209
rp2040_1,44,3,0,1000,4.362,0.208,164.807973
rp2040_1,44,3,1,1000,4.59,0.229,170.76771
rp2040_1,44,3,2,1000,4.458,0.216,166.773961
rp2040_1,44,3,3,1000,4.418,0.23,166.07144699999998
rp2040_1,44,3,4,1000,4.258,0.232,161.46377299999997
rp2040_1,44,4,0,1000,4.462,0.23,167.190487
rp2040_1,44,4,1,1000,4.281,0.238,162.20358
rp2040_1,44,4,2,1000,4.392,0.238,165.251383
rp2040_1,44,4,3,1000,4.481,0.218,167.94995300000002
rp2040_1,44,4,4,1000,4.388,0.225,165.409177
rp2040_1,44,5,0,1000,4.456,0.233,167.171166
rp2040_1,44,5,1,1000,4.391,0.208,165.263113
rp2040_1,44,5,2,1000,4.5,0.221,168.308902
rp2040_1,44,5,3,1000,4.283,0.249,162.429783
rp2040_1,44,5,4,1000,4.351,0.222,164.205905
rp2040_1,44,6,0,1000,4.341,0.227,163.63062100000002
rp2040_1,44,6,1,1000,4.139,0.258,158.237571
rp2040_1,44,6,2,1000,4.586,0.209,170.61145199999999
rp2040_1,44,6,3,1000,4.393,0.19,165.39018900000002
rp2040_1,44,6,4,1000,4.441,0.226,166.658144
rp2040_1,44,7,0,1000,4.305,0.214,162.99056099999999
rp2040_1,44,7,1,1000,4.509,0.197,168.663332
rp2040_1,44,7,2,1000,4.41,0.207,165.39970399999999
rp2040_1,44,7,3,1000,4.315,0.226,162.68089799999998
rp2040_1,44,7,4,1000,4.241,0.246,161.21171900000002
rp2040_1,44,8,0,1000,4.403,0.226,165.506867
rp2040_1,44,8,1,1000,4.292,0.228,162.431214
rp2040_1,44,8,2,1000,4.302,0.237,162.696294
rp2040_1,44,8,3,1000,4.34,0.232,163.81573600000002
rp2040_1,44,8,4,1000,4.299,0.25,162.518775
