board,set,model,calibration_upper_residual_us,B,R,Rz,Rlate,n_z,n_w0,n_hint
esp32_1,44,shared,14358.052943761693,21688.20845030384,8064.179331435452,,,,,
esp32_1,44,two,3208.417572730432,21689.34609309751,,7465.726423504461,8937.7549553338,,,
esp32_1,44,separate,543.9002798218935,21691.152749683224,,,,7464.9370596799245,8917.33663693832,10526.917678170075
rp2040_1,44,shared,34837.72259335377,70981.29790991306,27796.99813606665,,,,,
rp2040_1,44,two,11261.451724002953,70967.61214733319,,25584.813834988545,31026.22692956989,,,
rp2040_1,44,separate,342.93698097078595,70958.2596743973,,,,25582.98787205636,30967.14399739169,36677.887320213704
rp2040_2,44,shared,35171.02808378893,70939.4283360562,27821.752421119716,,,,,
rp2040_2,44,two,11071.743085659342,70969.38001156831,,25579.071240125973,31032.433605630104,,,
rp2040_2,44,separate,369.1719360976713,70958.99950118795,,,,25583.130424506206,30966.630861110792,36668.60913314734
rp2040_1,65,shared,53240.834755926975,108590.30778684455,38616.49109107678,,,,,
rp2040_1,65,two,8699.804423791706,108524.77884729193,,34373.705055329345,42445.64912689974,,,
rp2040_1,65,separate,501.31752818252426,108528.54018723029,,,,34370.2126058794,42431.661482633695,50985.53278411797
rp2040_2,65,shared,51258.584306501434,108309.43163506236,38677.39920292181,,,,,
rp2040_2,65,two,8780.340078706271,108522.6192566026,,34369.89725376038,42451.83722585249,,,
rp2040_2,65,separate,562.5507742898772,108529.4201488144,,,,34370.87576664475,42430.87658798488,50970.1082017003
rp2040_1,87,shared,81198.89598235278,169273.71337461486,55853.21302143441,,,,,
rp2040_1,87,two,11437.092261631333,169333.17616642258,,49979.13612494725,60763.15310735054,,,
rp2040_1,87,separate,722.0426600850187,169317.74556731415,,,,49972.84525559644,60719.76752987777,72104.33390315509
rp2040_2,87,shared,81774.85933032492,169280.6884838283,55867.766149494535,,,,,
rp2040_2,87,two,22394.08962980751,169334.33858758552,,49965.53023188905,60771.813914853614,,,
rp2040_2,87,separate,617.9451938413549,169320.6390229642,,,,49971.62915857527,60719.18833900427,72124.69113115701
