board,set,reason,rejections,signatures_with_exit,all_rejections,all_signatures
esp32_1,44,z,100153,33315,168599,50000
esp32_1,44,w0,67606,28744,168599,50000
esp32_1,44,ct0,0,0,168599,50000
esp32_1,44,hint,840,826,168599,50000
rp2040_1,44,z,100194,33357,168997,50000
rp2040_1,44,w0,67954,28732,168997,50000
rp2040_1,44,ct0,0,0,168997,50000
rp2040_1,44,hint,849,835,168997,50000
rp2040_2,44,z,98902,33210,166986,50000
rp2040_2,44,w0,67229,28758,166986,50000
rp2040_2,44,ct0,0,0,166986,50000
rp2040_2,44,hint,855,838,166986,50000
rp2040_1,65,z,97606,33050,206481,50000
rp2040_1,65,w0,108646,34232,206481,50000
rp2040_1,65,ct0,0,0,206481,50000
rp2040_1,65,hint,229,228,206481,50000
rp2040_2,65,z,98303,33116,207551,50000
rp2040_2,65,w0,109029,34234,207551,50000
rp2040_2,65,ct0,0,0,207551,50000
rp2040_2,65,hint,219,219,207551,50000
rp2040_1,87,z,66400,28318,145781,50000
rp2040_1,87,w0,78984,30600,145781,50000
rp2040_1,87,ct0,0,0,145781,50000
rp2040_1,87,hint,397,394,145781,50000
rp2040_2,87,z,66070,28484,145935,50000
rp2040_2,87,w0,79441,30588,145935,50000
rp2040_2,87,ct0,0,0,145935,50000
rp2040_2,87,hint,424,422,145935,50000
