arch,period_ms,replicate,seconds,reports,completed,verified,dropped,censored,late_reports,acquisition_released,acquisition_misses,acquisition_skipped,max_pending,response_p50_us,response_p95_us,response_p99_us,signing_p50_us,postcheck_p50_us,acquisition_max_response_us,exception_log_truncated,release_lag_max_us,raw_sha256,board,run,attempt
inline,0,1,600,0,0,0,0,0,0,60000,0,0,0,,,,,,170,False,0,620c5b31183b9544c13989500ab213d05278a0518f9f8a68af7ed8fc2e128642,rp2040_1,run_00,attempt_20260910_220603_8a997c8f
worker,250,1,600,2400,2400,2400,0,0,1015,60000,0,0,5,208290.0,731203.0,1159834.0,139474.0,5893.0,1829,False,86,5073b1bd2def9edb06f58ff0ded9048e2210dfedce8a8bf161f9998d69668d59,rp2040_1,run_01,attempt_20260910_221604_efe3b9e8
inline,250,1,600,2400,2400,2400,0,0,938,60000,42164,42136,5,197987.0,680014.0,1076248.0,136487.0,5523.0,10209,True,59,a1333e9d807c10ca5c88f6a85735a48ac7b1f41fc4d88791c89c7f36dbe47106,rp2040_1,run_02,attempt_20260910_222610_8c606caf
worker,100,1,600,6000,3149,3150,2843,8,3149,60000,0,0,8,1611699.0,2299259.0,2627061.0,139512.0,5898.0,1868,False,89,be30b02c98cc973393c5fe93d39e652cb2b06b52b022d7f46c6238a0ea418833,rp2040_1,run_03,attempt_20260910_223615_95d69361
worker,1000,1,600,600,600,600,0,0,0,60000,0,0,1,140274.0,410920.0,553317.0,139424.0,5893.0,1763,False,41,7446f5555c94cc59cba94c97f79edb1647158e579ec081db019da3fdbc81dc86,rp2040_1,run_04,attempt_20260910_224623_5ceb1658
inline,1000,1,600,600,600,600,0,0,0,60000,10109,10107,1,137357.0,401648.0,540559.0,136458.0,5524.0,10171,True,41,d1b00cde8d75647533bb8df62ec606aa2fef270cf648b8332fff7ccecff2e501,rp2040_1,run_05,attempt_20260910_225627_31411a35
inline,100,1,600,6000,3214,3215,2777,9,3214,60000,56843,56785,8,1582978.0,2218286.0,2583901.0,136524.0,5528.0,10215,True,59,84c5979d1e380aab852f456ca81f64e87b0a1696c3ac98341476f1176e598970,rp2040_1,run_06,attempt_20260910_230632_513553e7
worker,1000,2,600,600,600,600,0,0,0,60000,0,0,1,140235.0,398986.0,523235.0,139390.0,5951.0,1511,False,40,3657cd31aad4ef0440ff6bc4073731a5d683bfd0ee97bcade5551332e4d69075,rp2040_1,run_07,attempt_20260910_231640_e63a39fb
worker,100,2,600,6000,3206,3207,2785,9,3206,60000,0,0,8,1573860.0,2253375.0,2557156.0,139442.0,5953.0,1886,False,97,f1261a2fb7a718ffccdf0ffce50b4652ee296a1de235514c37940eaf387439a5,rp2040_1,run_08,attempt_20260910_232645_d9113cf6
inline,250,2,600,2400,2398,2399,0,2,816,60000,40412,40387,6,176247.0,569026.0,983847.0,136405.0,5581.0,10199,True,63,29b35e0dcce5dcbe38e51068ba78e9d5e8c9defd3bdc2958cc9dcadcc0bb1552,rp2040_1,run_09,attempt_20260910_233652_f7ce7b47
inline,100,2,600,6000,3314,3315,2677,9,3314,60000,56743,56685,8,1532529.0,2134472.0,2414213.0,136424.0,5583.0,10200,True,62,b20a4cde8b94c97fba18d1666601d17658b75d373e5dcfa5a5ff74d5eeb0864d,rp2040_1,run_10,attempt_20260910_234658_00b6c4f1
inline,1000,2,600,600,600,600,0,0,0,60000,9886,9881,1,137311.0,390223.0,511414.0,136410.0,5579.0,10170,True,41,54c696e970d6f26a461540232b7ca967bc8c06790c017eb7f6af2704a37df7f8,rp2040_1,run_11,attempt_20260910_235706_77a1ec10
worker,250,2,600,2400,2398,2399,0,2,880,60000,0,0,6,190485.0,608772.0,1060678.0,139386.0,5952.0,1890,False,82,ae8259ac724cacf9a5b5338b4b213e464c5ca1da13e55300d3a296b8652763c5,rp2040_1,run_12,attempt_20260911_000711_78ca14ad
worker,250,3,600,2400,2399,2400,0,1,1019,60000,0,0,4,216705.0,659614.0,876884.0,139597.0,5993.0,1918,False,92,f420648b0012ba0ef738aed13fc4a1830eed392235e5fad767fcfc633235bac3,rp2040_1,run_13,attempt_20260911_001717_5cf6d4ad
inline,1000,3,600,600,600,600,0,0,0,60000,10207,10202,1,137443.0,391653.0,539242.0,136529.0,5626.0,10021,True,41,b9200886d19c8b58284f2efaec59ef95bf2930b7d4c8dcebdd2bf1df38e0d1df,rp2040_1,run_14,attempt_20260911_002722_15144234
worker,1000,3,600,600,600,600,0,0,0,60000,0,0,1,140392.0,400763.0,551638.0,139549.0,6002.0,1425,False,40,2730fdefe1350db14e798291af73b5622d2731729a23dce33134d79f238ed5dc,rp2040_1,run_15,attempt_20260911_003726_734bdac8
inline,250,3,600,2400,2399,2400,0,1,939,60000,42268,42231,4,200936.0,613752.0,829564.0,136558.0,5623.0,10201,True,57,46970de7a5fd9e67bfbbb6ecab5e2eb32aee3c1d53c1d3112f23c56543c8442f,rp2040_1,run_16,attempt_20260911_004730_465cea14
worker,100,3,600,6000,3169,3170,2823,8,3169,60000,0,0,8,1605677.0,2281198.0,2652045.0,139605.0,5984.0,1914,False,81,283e79a8f7c4e705e7368b743a9980b747941df8f98dc892f265a71fc4ab3b0c,rp2040_1,run_17,attempt_20260911_005735_d5df9fa1
inline,100,3,600,6000,3241,3242,2750,9,3241,60000,56813,56758,8,1544625.0,2257721.0,2671597.0,136558.0,5622.0,10216,True,61,092d8e00e382bb094803991f28647054a2e914249a08799d8699c4d17793f03e,rp2040_1,run_18,attempt_20260911_010742_923e0c19
inline,0,1,600,0,0,0,0,0,0,60000,0,0,0,,,,,,170,False,0,620c5b31183b9544c13989500ab213d05278a0518f9f8a68af7ed8fc2e128642,rp2040_2,run_00,attempt_20260910_220603_0ef6b30a
worker,250,1,600,2400,2400,2400,0,0,1015,60000,0,0,5,208303.0,731150.0,1159799.0,139473.0,5895.0,1831,False,86,d47705fa8a6679cee3106c3ade353c0b3ea865505e5ab3f1365e162769732839,rp2040_2,run_01,attempt_20260910_221605_377bd47e
inline,250,1,600,2400,2400,2400,0,0,938,60000,42167,42141,5,198006.0,680257.0,1075974.0,136489.0,5526.0,10203,True,58,95276b0bd9b9cf3da8be898497b5cb83663c931cf3ef74d06102680c690c992c,rp2040_2,run_02,attempt_20260910_222610_c48ab0b7
worker,100,1,600,6000,3140,3141,2852,8,3140,60000,0,0,8,1632630.0,2308350.0,2674843.0,139529.0,5896.0,1841,False,93,fe78ee8440a047998e11c4b1755e697f189e0f2cbbfd9084b2fcc14c76eac613,rp2040_2,run_03,attempt_20260910_223616_37d6e820
worker,1000,1,600,600,600,600,0,0,0,60000,0,0,1,140272.0,410986.0,553293.0,139425.0,5894.0,1746,False,49,51a9bbe28e24393eeff97c0d9bd50cfa6eff5f9065f93c52b32d754afb794d67,rp2040_2,run_04,attempt_20260910_224623_13fae146
inline,1000,1,600,600,600,600,0,0,0,60000,10115,10111,1,137337.0,401723.0,540478.0,136457.0,5528.0,10162,True,42,e0d4e4e500ee842a002b710249b5f8b07216d5a21213d4125e1d2afc7884f8fd,rp2040_2,run_05,attempt_20260910_225628_3f7acdb6
inline,100,1,600,6000,3236,3237,2755,9,3236,60000,56821,56763,8,1552604.0,2233954.0,2580824.0,136509.0,5528.0,10203,True,61,75288d93df5d675d5caa6be47ed385e4ce2dbe1052ed6fbe26498a8278d84478,rp2040_2,run_06,attempt_20260910_230633_130e1337
worker,1000,2,600,600,600,600,0,0,0,60000,0,0,1,140245.0,399028.0,523320.0,139394.0,5952.0,1541,False,48,83b1941bedcc91744d697585054b46b1b7a867c482a16e97aa0d6c39ae50db87,rp2040_2,run_07,attempt_20260910_231640_10442fa8
worker,100,2,600,6000,3237,3238,2754,9,3237,60000,0,0,8,1566990.0,2233357.0,2579731.0,139435.0,5953.0,1900,False,91,7cf67554f2d3d6da7a3e0061734a4ffc04ca13e05e01fd660ef287f3910ec198,rp2040_2,run_08,attempt_20260910_232645_55d8cdcc
inline,250,2,600,2400,2398,2399,0,2,816,60000,40434,40401,6,176261.0,569205.0,983789.0,136408.0,5580.0,10204,True,57,b761d0fb9cdd0544e7fd12d5dd3c4866ba2298fdc2669a3aac2a9d2637d90868,rp2040_2,run_09,attempt_20260910_233653_d31e9675
inline,100,2,600,6000,3298,3299,2695,7,3298,60000,56775,56701,8,1524201.0,2241237.0,2645996.0,136435.0,5583.0,10214,True,62,b0d7e0371341eacc833534e6c371a48c915bfd7b01a2611a23d7ad4f978e88c8,rp2040_2,run_10,attempt_20260910_234659_f94e26ec
inline,1000,2,600,600,600,600,0,0,0,60000,9878,9872,1,137304.0,390144.0,511509.0,136417.0,5579.0,10191,True,41,e7ffa0038d051a79c283b72218e9cfa5943720166d5d4b2d52d6267bd4822362,rp2040_2,run_11,attempt_20260910_235707_11c4261a
worker,250,2,600,2400,2398,2399,0,2,880,60000,0,0,6,190480.0,608606.0,1060804.0,139387.0,5954.0,1873,False,88,003acca1aba02a316cc5a776ba95ecc14d2f3123c1aa10c87292798cc00e460a,rp2040_2,run_12,attempt_20260911_000712_0ff90773
