board,set,partition,reason,events,mean_us,median_us,p95_us
rp2040_1,44,diagnostic_calibration,0,500,36782.546,36729.0,36988.0
rp2040_1,44,diagnostic_calibration,1,1012,25670.874505928852,25632.0,25883.0
rp2040_1,44,diagnostic_calibration,2,662,31070.65256797583,31023.0,31286.0
rp2040_1,44,diagnostic_calibration,4,9,36862.444444444445,36975.0,37007.0
rp2040_1,44,diagnostic_holdout,0,500,36786.97,36724.0,36990.0
rp2040_1,44,diagnostic_holdout,1,967,25671.191313340227,25632.0,25888.0
rp2040_1,44,diagnostic_holdout,2,666,31073.03003003003,31026.0,31292.0
rp2040_1,44,diagnostic_holdout,4,9,36785.444444444445,36736.0,36975.0
rp2040_2,44,diagnostic_calibration,0,500,36784.652,36726.0,36992.0
rp2040_2,44,diagnostic_calibration,1,1063,25669.356538099717,25632.0,25877.0
rp2040_2,44,diagnostic_calibration,2,742,31061.545822102427,31018.0,31296.0
rp2040_2,44,diagnostic_calibration,4,9,36811.444444444445,36743.0,36990.0
rp2040_2,44,diagnostic_holdout,0,500,36783.02,36724.0,36991.0
rp2040_2,44,diagnostic_holdout,1,931,25678.776584317937,25635.0,25889.0
rp2040_2,44,diagnostic_holdout,2,643,31076.517884914465,31029.0,31295.0
rp2040_2,44,diagnostic_holdout,4,8,36863.375,36881.0,36996.0
rp2040_1,65,diagnostic_calibration,0,500,51075.53,51032.0,51254.0
rp2040_1,65,diagnostic_calibration,1,932,34434.93347639485,34410.0,34631.0
rp2040_1,65,diagnostic_calibration,2,1072,42506.91604477612,42482.0,42711.0
rp2040_1,65,diagnostic_calibration,4,3,51053.666666666664,51045.0,51081.0
rp2040_1,65,diagnostic_holdout,0,500,51077.174,51033.0,51251.0
rp2040_1,65,diagnostic_holdout,1,950,34437.83368421053,34409.5,34642.0
rp2040_1,65,diagnostic_holdout,2,1030,42506.71359223301,42479.0,42719.0
rp2040_1,65,diagnostic_holdout,4,1,51080.0,51080.0,51080.0
rp2040_2,65,diagnostic_calibration,0,500,51080.898,51034.0,51254.0
rp2040_2,65,diagnostic_calibration,1,887,34436.28974069899,34410.0,34630.0
rp2040_2,65,diagnostic_calibration,2,1037,42507.85631629701,42479.0,42710.0
rp2040_2,65,diagnostic_calibration,4,1,51028.0,51028.0,51028.0
rp2040_2,65,diagnostic_holdout,0,500,51075.858,51032.0,51256.0
rp2040_2,65,diagnostic_holdout,1,953,34442.3462749213,34417.0,34641.0
rp2040_2,65,diagnostic_holdout,2,1037,42505.87174541948,42478.0,42711.0
rp2040_1,87,diagnostic_calibration,0,500,72162.232,72089.0,72405.0
rp2040_1,87,diagnostic_calibration,1,670,49989.54179104478,49940.0,50271.0
rp2040_1,87,diagnostic_calibration,2,754,60744.903183023875,60694.5,61040.0
rp2040_1,87,diagnostic_calibration,4,3,72395.33333333333,72401.0,72406.0
rp2040_1,87,diagnostic_holdout,0,500,72167.612,72083.0,72408.0
rp2040_1,87,diagnostic_holdout,1,701,49980.7517831669,49936.0,50268.0
rp2040_1,87,diagnostic_holdout,2,791,60738.472819216186,60690.0,61032.0
rp2040_1,87,diagnostic_holdout,4,5,72192.8,72055.0,72403.0
rp2040_2,87,diagnostic_calibration,0,500,72152.98,72079.0,72405.0
rp2040_2,87,diagnostic_calibration,1,601,49992.965058236274,49938.0,50273.0
rp2040_2,87,diagnostic_calibration,2,813,60752.59778597786,60696.0,61040.0
rp2040_2,87,diagnostic_calibration,4,1,72056.0,72056.0,72056.0
rp2040_2,87,diagnostic_holdout,0,500,72157.094,72074.0,72408.0
rp2040_2,87,diagnostic_holdout,1,691,49991.47756874096,49950.0,50258.0
rp2040_2,87,diagnostic_holdout,2,817,60739.667074663404,60688.0,61042.0
rp2040_2,87,diagnostic_holdout,4,4,72143.0,72061.5,72394.0
