board,arch,replicate,period_ms,reports,completed,late_reports,dropped,censored,acquisition_releases,acquisition_misses,report_deadline_failures,report_failure_pct,acquisition_failure_pct
esp32_1,inline,1,100,6000,6000,375,0,0,60000,21187,375,6.25,35.31166666666667
esp32_1,inline,1,250,2400,2400,0,0,0,60000,8444,0,0.0,14.073333333333334
esp32_1,inline,1,1000,600,600,0,0,0,60000,2108,0,0.0,3.513333333333333
esp32_1,worker,1,100,6000,6000,375,0,0,60000,0,375,6.25,0.0
esp32_1,worker,1,250,2400,2400,0,0,0,60000,0,0,0.0,0.0
esp32_1,worker,1,1000,600,600,0,0,0,60000,0,0,0.0,0.0
esp32_1,inline,2,100,6000,6000,281,0,0,60000,19958,281,4.683333333333334,33.263333333333335
esp32_1,inline,2,250,2400,2400,0,0,0,60000,7956,0,0.0,13.26
esp32_1,inline,2,1000,600,600,0,0,0,60000,1988,0,0.0,3.3133333333333335
esp32_1,worker,2,100,6000,6000,281,0,0,60000,0,281,4.683333333333334,0.0
esp32_1,worker,2,250,2400,2400,0,0,0,60000,0,0,0.0,0.0
esp32_1,worker,2,1000,600,600,0,0,0,60000,0,0,0.0,0.0
esp32_1,inline,3,100,6000,6000,563,0,0,60000,21478,563,9.383333333333333,35.79666666666667
esp32_1,inline,3,250,2400,2400,0,0,0,60000,8429,0,0.0,14.048333333333334
esp32_1,inline,3,1000,600,600,0,0,0,60000,2102,0,0.0,3.5033333333333334
esp32_1,worker,3,100,6000,6000,563,0,0,60000,0,563,9.383333333333333,0.0
esp32_1,worker,3,250,2400,2400,0,0,0,60000,0,0,0.0,0.0
esp32_1,worker,3,1000,600,600,0,0,0,60000,0,0,0.0,0.0
rp2040_1,worker,1,250,2400,2400,1015,0,0,60000,0,1015,42.291666666666664,0.0
rp2040_1,inline,1,250,2400,2400,938,0,0,60000,42164,938,39.083333333333336,70.27333333333333
rp2040_1,worker,1,100,6000,3149,3149,2843,8,60000,0,6000,100.0,0.0
rp2040_1,worker,1,1000,600,600,0,0,0,60000,0,0,0.0,0.0
rp2040_1,inline,1,1000,600,600,0,0,0,60000,10109,0,0.0,16.848333333333333
rp2040_1,inline,1,100,6000,3214,3214,2777,9,60000,56843,6000,100.0,94.73833333333333
rp2040_1,worker,2,1000,600,600,0,0,0,60000,0,0,0.0,0.0
rp2040_1,worker,2,100,6000,3206,3206,2785,9,60000,0,6000,100.0,0.0
rp2040_1,inline,2,250,2400,2398,816,0,2,60000,40412,818,34.083333333333336,67.35333333333334
rp2040_1,inline,2,100,6000,3314,3314,2677,9,60000,56743,6000,100.0,94.57166666666667
rp2040_1,inline,2,1000,600,600,0,0,0,60000,9886,0,0.0,16.476666666666667
rp2040_1,worker,2,250,2400,2398,880,0,2,60000,0,882,36.75,0.0
rp2040_1,worker,3,250,2400,2399,1019,0,1,60000,0,1020,42.5,0.0
rp2040_1,inline,3,1000,600,600,0,0,0,60000,10207,0,0.0,17.011666666666667
rp2040_1,worker,3,1000,600,600,0,0,0,60000,0,0,0.0,0.0
rp2040_1,inline,3,250,2400,2399,939,0,1,60000,42268,940,39.166666666666664,70.44666666666667
rp2040_1,worker,3,100,6000,3169,3169,2823,8,60000,0,6000,100.0,0.0
rp2040_1,inline,3,100,6000,3241,3241,2750,9,60000,56813,6000,100.0,94.68833333333333
rp2040_2,worker,1,250,2400,2400,1015,0,0,60000,0,1015,42.291666666666664,0.0
rp2040_2,inline,1,250,2400,2400,938,0,0,60000,42167,938,39.083333333333336,70.27833333333334
rp2040_2,worker,1,100,6000,3140,3140,2852,8,60000,0,6000,100.0,0.0
rp2040_2,worker,1,1000,600,600,0,0,0,60000,0,0,0.0,0.0
rp2040_2,inline,1,1000,600,600,0,0,0,60000,10115,0,0.0,16.858333333333334
rp2040_2,inline,1,100,6000,3236,3236,2755,9,60000,56821,6000,100.0,94.70166666666667
rp2040_2,worker,2,1000,600,600,0,0,0,60000,0,0,0.0,0.0
rp2040_2,worker,2,100,6000,3237,3237,2754,9,60000,0,6000,100.0,0.0
rp2040_2,inline,2,250,2400,2398,816,0,2,60000,40434,818,34.083333333333336,67.39
rp2040_2,inline,2,100,6000,3298,3298,2695,7,60000,56775,6000,100.0,94.625
rp2040_2,inline,2,1000,600,600,0,0,0,60000,9878,0,0.0,16.463333333333335
rp2040_2,worker,2,250,2400,2398,880,0,2,60000,0,882,36.75,0.0
rp2040_2,worker,3,250,2400,2399,1019,0,1,60000,0,1020,42.5,0.0
rp2040_2,inline,3,1000,600,600,0,0,0,60000,10219,0,0.0,17.031666666666666
rp2040_2,worker,3,1000,600,600,0,0,0,60000,0,0,0.0,0.0
rp2040_2,inline,3,250,2400,2399,938,0,1,60000,42288,939,39.125,70.48
rp2040_2,worker,3,100,6000,3215,3215,2776,9,60000,0,6000,100.0,0.0
rp2040_2,inline,3,100,6000,3233,3233,2758,9,60000,56837,6000,100.0,94.72833333333334
