invocation_id,block,key_id,message_id,rand_index,start_us,end_us,elapsed_us,K,reject_z,reject_w0,reject_ct0,reject_hint,sign_rc,verify_rc,siglen,rng_ok,k_ok
0,0,0,4,0,6963162,6984793,21631,1,0,0,0,0,0,0,2420,1,1
1,0,0,1,1,6999810,7021412,21602,1,0,0,0,0,0,0,2420,1,1
2,0,0,1,2,7036059,7065136,29077,2,1,0,0,0,0,0,2420,1,1
3,0,0,4,3,7079778,7101357,21579,1,0,0,0,0,0,0,2420,1,1
4,0,0,2,4,7115996,7170343,54347,5,2,2,0,0,0,0,2420,1,1
5,0,0,1,5,7184981,7215501,30520,2,0,1,0,0,0,0,2420,1,1
6,0,0,2,6,7230143,7251722,21579,1,0,0,0,0,0,0,2420,1,1
7,0,0,1,7,7266360,7287954,21594,1,0,0,0,0,0,0,2420,1,1
8,0,0,0,8,7302599,7434495,131896,15,10,4,0,0,0,0,2420,1,1
9,0,0,3,9,7449142,7537745,88603,9,3,5,0,0,0,0,2420,1,1
10,0,0,0,10,7552379,7678289,125910,14,8,5,0,0,0,0,2420,1,1
11,0,0,1,11,7692941,7714535,21594,1,0,0,0,0,0,0,2420,1,1
12,0,0,0,12,7729181,7782104,52923,5,3,1,0,0,0,0,2420,1,1
13,0,0,4,13,7796753,7833266,36513,3,2,0,0,0,0,0,2420,1,1
14,0,0,0,14,7847904,7893306,45402,4,2,1,0,0,0,0,2420,1,1
15,0,0,1,15,7907952,7929546,21594,1,0,0,0,0,0,0,2420,1,1
16,0,0,3,16,7944196,8006031,61835,6,3,2,0,0,0,0,2420,1,1
17,0,0,3,17,8020669,8077892,57223,5,0,4,0,0,0,0,2420,1,1
18,0,0,0,18,8092529,8137994,45465,4,2,1,0,0,0,0,2420,1,1
19,0,0,2,19,8152640,8183147,30507,2,0,1,0,0,0,0,2420,1,1
20,0,0,3,20,8197785,8219364,21579,1,0,0,0,0,0,0,2420,1,1
21,0,0,4,21,8234006,8347810,113804,12,4,7,0,0,0,0,2420,1,1
22,0,0,4,22,8362451,8416827,54376,5,2,2,0,0,0,0,2420,1,1
23,0,0,4,23,8431465,8453047,21582,1,0,0,0,0,0,0,2420,1,1
24,0,0,2,24,8467684,8522013,54329,5,2,2,0,0,0,0,2420,1,1
25,0,0,0,25,8536654,8558248,21594,1,0,0,0,0,0,0,2420,1,1
26,0,0,1,26,8572897,8594492,21595,1,0,0,0,0,0,0,2420,1,1
27,0,0,2,27,8609138,8670986,61848,6,3,2,0,0,0,0,2420,1,1
28,0,0,0,28,8685628,8723615,37987,3,1,1,0,0,0,0,2420,1,1
29,0,0,2,29,8738261,8807530,69269,7,4,2,0,0,0,0,2420,1,1
30,0,0,3,30,8822168,8843751,21583,1,0,0,0,0,0,0,2420,1,1
31,0,0,3,31,8858389,8879967,21578,1,0,0,0,0,0,0,2420,1,1
32,0,0,0,32,8894609,8923685,29076,2,1,0,0,0,0,0,2420,1,1
33,0,0,2,33,8938331,9001614,63283,6,2,3,0,0,0,0,2420,1,1
34,0,0,1,34,9016256,9081140,64884,6,2,2,0,1,0,0,2420,1,1
35,0,0,4,35,9095789,9208149,112360,12,5,6,0,0,0,0,2420,1,1
36,0,0,1,36,9222793,9278587,55794,5,1,3,0,0,0,0,2420,1,1
37,0,0,2,37,9293237,9357944,64707,6,1,4,0,0,0,0,2420,1,1
38,0,0,4,38,9372581,9535886,163305,19,13,5,0,0,0,0,2420,1,1
39,0,0,1,39,9550529,9587039,36510,3,2,0,0,0,0,0,2420,1,1
40,0,0,2,40,9601689,9623272,21583,1,0,0,0,0,0,0,2420,1,1
41,0,0,4,41,9637910,9668402,30492,2,0,1,0,0,0,0,2420,1,1
42,0,0,0,42,9683042,9721029,37987,3,1,1,0,0,0,0,2420,1,1
43,0,0,4,43,9735679,9766178,30499,2,0,1,0,0,0,0,2420,1,1
44,0,0,3,44,9780816,9802394,21578,1,0,0,0,0,0,0,2420,1,1
45,0,0,4,45,9817036,9886317,69281,7,4,2,0,0,0,0,2420,1,1
46,0,0,1,46,9900955,9922548,21593,1,0,0,0,0,0,0,2420,1,1
47,0,0,3,47,9937198,10007922,70724,7,3,3,0,0,0,0,2420,1,1
48,0,0,2,48,10022560,10044143,21583,1,0,0,0,0,0,0,2420,1,1
49,0,0,3,49,10058784,10203890,145106,16,7,8,0,0,0,0,2420,1,1
50,0,0,4,50,10218533,10319076,100543,11,7,3,0,0,0,0,2420,1,1
51,0,0,1,51,10333722,10419370,85648,9,5,3,0,0,0,0,2420,1,1
52,0,0,3,52,10434022,10498744,64722,6,1,4,0,0,0,0,2420,1,1
53,0,0,4,53,10513388,10534967,21579,1,0,0,0,0,0,0,2420,1,1
54,0,0,4,54,10549607,10571185,21578,1,0,0,0,0,0,0,2420,1,1
55,0,0,3,55,10585829,10677440,91611,9,2,5,0,1,0,0,2420,1,1
56,0,0,4,56,10692080,10713663,21583,1,0,0,0,0,0,0,2420,1,1
57,0,0,1,57,10728302,10749894,21592,1,0,0,0,0,0,0,2420,1,1
58,0,0,2,58,10764546,10878509,113963,12,5,5,0,1,0,0,2420,1,1
59,0,0,1,59,10893156,10914751,21595,1,0,0,0,0,0,0,2420,1,1
60,0,0,3,60,10929399,11023935,94536,10,5,4,0,0,0,0,2420,1,1
61,0,0,2,61,11038576,11076535,37959,3,1,1,0,0,0,0,2420,1,1
62,0,0,4,62,11091175,11138058,46883,4,1,2,0,0,0,0,2420,1,1
63,0,0,1,63,11152698,11318810,166112,19,11,7,0,0,0,0,2420,1,1
64,0,0,0,64,11333466,11363966,30500,2,0,1,0,0,0,0,2420,1,1
65,0,0,0,65,11378614,11431560,52946,5,3,1,0,0,0,0,2420,1,1
66,0,0,2,66,11446212,11484155,37943,3,1,1,0,0,0,0,2420,1,1
67,0,0,4,67,11498795,11620131,121336,13,5,7,0,0,0,0,2420,1,1
68,0,0,2,68,11634779,11665268,30489,2,0,1,0,0,0,0,2420,1,1
69,0,0,1,69,11679908,11750641,70733,7,3,3,0,0,0,0,2420,1,1
70,0,0,4,70,11765292,11810708,45416,4,2,1,0,0,0,0,2420,1,1
71,0,0,1,71,11825352,11861850,36498,3,2,0,0,0,0,0,2420,1,1
72,0,0,4,72,11876505,11898084,21579,1,0,0,0,0,0,0,2420,1,1
73,0,0,0,73,11912727,12002932,90205,10,8,1,0,0,0,0,2420,1,1
74,0,0,4,74,12017590,12071912,54322,5,2,2,0,0,0,0,2420,1,1
75,0,0,0,75,12086560,12132019,45459,4,2,1,0,0,0,0,2420,1,1
76,0,0,0,76,12146679,12168273,21594,1,0,0,0,0,0,0,2420,1,1
77,0,0,4,77,12182928,12246165,63237,6,2,3,0,0,0,0,2420,1,1
78,0,0,2,78,12260813,12298778,37965,3,1,1,0,0,0,0,2420,1,1
79,0,0,2,79,12313426,12335005,21579,1,0,0,0,0,0,0,2420,1,1
80,0,0,4,80,12349652,12401051,51399,5,4,0,0,0,0,0,2420,1,1
81,0,0,0,81,12415699,12461132,45433,4,2,1,0,0,0,0,2420,1,1
82,0,0,0,82,12475793,12512313,36520,3,2,0,0,0,0,0,2420,1,1
83,0,0,3,83,12526968,12591690,64722,6,1,4,0,0,0,0,2420,1,1
84,0,0,1,84,12606342,12653230,46888,4,1,2,0,0,0,0,2420,1,1
85,0,0,4,85,12667882,12689462,21580,1,0,0,0,0,0,0,2420,1,1
86,0,0,1,86,12704114,12725708,21594,1,0,0,0,0,0,0,2420,1,1
87,0,0,4,87,12740359,12769395,29036,2,1,0,0,0,0,0,2420,1,1
88,0,0,4,88,12784046,12805625,21579,1,0,0,0,0,0,0,2420,1,1
89,0,0,4,89,12820269,12899898,79629,8,3,4,0,0,0,0,2420,1,1
90,0,0,2,90,12914550,13009121,94571,10,5,4,0,0,0,0,2420,1,1
91,0,0,2,91,13023770,13061730,37960,3,1,1,0,0,0,0,2420,1,1
92,0,0,1,92,13076381,13105460,29079,2,1,0,0,0,0,0,2420,1,1
93,0,0,1,93,13120112,13150611,30499,2,0,1,0,0,0,0,2420,1,1
94,0,0,3,94,13165271,13186850,21579,1,0,0,0,0,0,0,2420,1,1
95,0,0,0,95,13201493,13231989,30496,2,0,1,0,0,0,0,2420,1,1
96,0,0,2,96,13246649,13268227,21578,1,0,0,0,0,0,0,2420,1,1
97,0,0,1,97,13282875,13320831,37956,3,1,1,0,0,0,0,2420,1,1
98,0,0,4,98,13335492,13357070,21578,1,0,0,0,0,0,0,2420,1,1
99,0,0,0,99,13371714,13418617,46903,4,1,2,0,0,0,0,2420,1,1
100,0,0,0,100,13433277,13454872,21595,1,0,0,0,0,0,0,2420,1,1
101,0,0,4,101,13469525,13500022,30497,2,0,1,0,0,0,0,2420,1,1
102,0,0,3,102,13514677,13573600,58923,6,5,0,0,0,0,0,2420,1,1
103,0,0,3,103,13588246,13618733,30487,2,0,1,0,0,0,0,2420,1,1
104,0,0,1,104,13633386,13669919,36533,3,2,0,0,0,0,0,2420,1,1
105,0,0,1,105,13684577,13706172,21595,1,0,0,0,0,0,0,2420,1,1
106,0,0,2,106,13720829,13784230,63401,6,3,1,0,1,0,0,2420,1,1
107,0,0,3,107,13798876,13820454,21578,1,0,0,0,0,0,0,2420,1,1
108,0,0,1,108,13835109,13898385,63276,6,2,3,0,0,0,0,2420,1,1
109,0,0,4,109,13913042,13983777,70735,7,3,3,0,0,0,0,2420,1,1
110,0,0,4,110,13998427,14051294,52867,5,3,1,0,0,0,0,2420,1,1
111,0,0,4,111,14065944,14094979,29035,2,1,0,0,0,0,0,2420,1,1
112,0,0,1,112,14109629,14187826,78197,8,4,3,0,0,0,0,2420,1,1
113,0,0,0,113,14202480,14299934,97454,10,3,6,0,0,0,0,2420,1,1
114,0,0,0,114,14314597,14343659,29062,2,1,0,0,0,0,0,2420,1,1
115,0,0,1,115,14358313,14387381,29068,2,1,0,0,0,0,0,2420,1,1
116,0,0,3,116,14402039,14423622,21583,1,0,0,0,0,0,0,2420,1,1
117,0,0,1,117,14438268,14459862,21594,1,0,0,0,0,0,0,2420,1,1
118,0,0,4,118,14474524,14496103,21579,1,0,0,0,0,0,0,2420,1,1
119,0,0,4,119,14510749,14539778,29029,2,1,0,0,0,0,0,2420,1,1
120,0,0,0,120,14554432,14593870,39438,3,0,2,0,0,0,0,2420,1,1
121,0,0,1,121,14608524,14653933,45409,4,2,1,0,0,0,0,2420,1,1
122,0,0,4,122,14668592,14706575,37983,3,1,1,0,0,0,0,2420,1,1
123,0,0,4,123,14721221,14759152,37931,3,1,1,0,0,0,0,2420,1,1
124,0,0,4,124,14773806,14804315,30509,2,0,1,0,0,0,0,2420,1,1
125,0,0,3,125,14818961,14880826,61865,6,3,2,0,0,0,0,2420,1,1
126,0,0,2,126,14895480,14917059,21579,1,0,0,0,0,0,0,2420,1,1
127,0,0,1,127,14931704,14960768,29064,2,1,0,0,0,0,0,2420,1,1
128,0,0,1,128,14975429,14997023,21594,1,0,0,0,0,0,0,2420,1,1
129,0,0,2,129,15011677,15033260,21583,1,0,0,0,0,0,0,2420,1,1
130,0,0,0,130,15047910,15076963,29053,2,1,0,0,0,0,0,2420,1,1
131,0,0,3,131,15091616,15113199,21583,1,0,0,0,0,0,0,2420,1,1
132,0,0,0,132,15127849,15149443,21594,1,0,0,0,0,0,0,2420,1,1
133,0,0,0,133,15164101,15217014,52913,5,3,1,0,0,0,0,2420,1,1
134,0,0,1,134,15231672,15253271,21599,1,0,0,0,0,0,0,2420,1,1
135,0,0,1,135,15267925,15305923,37998,3,1,1,0,0,0,0,2420,1,1
136,0,0,0,136,15320580,15357143,36563,3,2,0,0,0,0,0,2420,1,1
137,0,0,3,137,15371793,15402307,30514,2,0,1,0,0,0,0,2420,1,1
138,0,0,0,138,15416952,15454913,37961,3,1,1,0,0,0,0,2420,1,1
139,0,0,4,139,15469564,15498624,29060,2,1,0,0,0,0,0,2420,1,1
140,0,0,2,140,15513270,15551245,37975,3,1,1,0,0,0,0,2420,1,1
141,0,0,1,141,15565891,15603877,37986,3,1,1,0,0,0,0,2420,1,1
142,0,0,1,142,15618527,15696763,78236,8,4,3,0,0,0,0,2420,1,1
143,0,0,1,143,15711413,15749374,37961,3,1,1,0,0,0,0,2420,1,1
144,0,0,0,144,15764028,15785623,21595,1,0,0,0,0,0,0,2420,1,1
145,0,0,0,145,15800273,15868160,67887,7,5,1,0,0,0,0,2420,1,1
146,0,0,0,146,15882814,15904409,21595,1,0,0,0,0,0,0,2420,1,1
147,0,0,3,147,15919059,15964513,45454,4,2,1,0,0,0,0,2420,1,1
148,0,0,0,148,15979155,16000749,21594,1,0,0,0,0,0,0,2420,1,1
149,0,0,2,149,16015403,16044446,29043,2,1,0,0,0,0,0,2420,1,1
150,0,0,0,150,16059088,16131258,72170,7,2,4,0,0,0,0,2420,1,1
151,0,0,3,151,16145913,16182438,36525,3,2,0,0,0,0,0,2420,1,1
152,0,0,1,152,16197083,16250004,52921,5,3,1,0,0,0,0,2420,1,1
153,0,0,4,153,16264658,16286237,21579,1,0,0,0,0,0,0,2420,1,1
154,0,0,4,154,16300879,16329939,29060,2,1,0,0,0,0,0,2420,1,1
155,0,0,4,155,16344585,16391450,46865,4,1,2,0,0,0,0,2420,1,1
156,0,0,1,156,16406096,16444078,37982,3,1,1,0,0,0,0,2420,1,1
157,0,0,3,157,16458727,16496722,37995,3,1,1,0,0,0,0,2420,1,1
158,0,0,3,158,16511363,16559703,48340,4,0,3,0,0,0,0,2420,1,1
159,0,0,1,159,16574349,16595943,21594,1,0,0,0,0,0,0,2420,1,1
160,0,0,3,160,16610593,16632172,21579,1,0,0,0,0,0,0,2420,1,1
161,0,0,1,161,16646818,16690838,44020,4,3,0,0,0,0,0,2420,1,1
162,0,0,2,162,16705492,16758361,52869,5,3,1,0,0,0,0,2420,1,1
163,0,0,3,163,16773007,16833357,60350,6,4,1,0,0,0,0,2420,1,1
164,0,0,3,164,16847998,16885952,37954,3,1,1,0,0,0,0,2420,1,1
165,0,0,0,165,16900595,16929666,29071,2,1,0,0,0,0,0,2420,1,1
166,0,0,2,166,16944320,16973348,29028,2,1,0,0,0,0,0,2420,1,1
167,0,0,4,167,16987990,17009569,21579,1,0,0,0,0,0,0,2420,1,1
168,0,0,2,168,17024219,17045798,21579,1,0,0,0,0,0,0,2420,1,1
169,0,0,2,169,17060439,17082018,21579,1,0,0,0,0,0,0,2420,1,1
170,0,0,3,170,17096663,17125713,29050,2,1,0,0,0,0,0,2420,1,1
171,0,0,2,171,17140355,17161934,21579,1,0,0,0,0,0,0,2420,1,1
172,0,0,0,172,17176580,17205656,29076,2,1,0,0,0,0,0,2420,1,1
173,0,0,2,173,17220305,17241884,21579,1,0,0,0,0,0,0,2420,1,1
174,0,0,2,174,17256529,17346760,90231,10,8,1,0,0,0,0,2420,1,1
175,0,0,3,175,17361405,17391915,30510,2,0,1,0,0,0,0,2420,1,1
176,0,0,3,176,17406560,17444530,37970,3,1,1,0,0,0,0,2420,1,1
177,0,0,1,177,17459173,17497128,37955,3,1,1,0,0,0,0,2420,1,1
178,0,0,2,178,17511777,17606274,94497,10,5,4,0,0,0,0,2420,1,1
179,0,0,2,179,17620917,17642496,21579,1,0,0,0,0,0,0,2420,1,1
180,0,0,2,180,17657143,17704024,46881,4,1,2,0,0,0,0,2420,1,1
181,0,0,2,181,17718666,17781942,63276,6,2,3,0,0,0,0,2420,1,1
182,0,0,1,182,17796589,17904712,108123,12,8,3,0,0,0,0,2420,1,1
183,0,0,0,183,17919365,17964794,45429,4,2,1,0,0,0,0,2420,1,1
184,0,0,1,184,17979444,18001038,21594,1,0,0,0,0,0,0,2420,1,1
185,0,0,3,185,18015693,18080360,64667,6,1,4,0,0,0,0,2420,1,1
186,0,0,0,186,18095006,18150812,55806,5,1,3,0,0,0,0,2420,1,1
187,0,0,0,187,18165466,18203425,37959,3,1,1,0,0,0,0,2420,1,1
188,0,0,2,188,18218075,18312606,94531,10,5,4,0,0,0,0,2420,1,1
189,0,0,3,189,18327253,18365202,37949,3,1,1,0,0,0,0,2420,1,1
190,0,0,2,190,18379844,18410339,30495,2,0,1,0,0,0,0,2420,1,1
191,0,0,0,191,18424985,18446580,21595,1,0,0,0,0,0,0,2420,1,1
192,0,0,1,192,18461229,18497732,36503,3,2,0,0,0,0,0,2420,1,1
193,0,0,1,193,18512382,18533981,21599,1,0,0,0,0,0,0,2420,1,1
194,0,0,3,194,18548631,18579119,30488,2,0,1,0,0,0,0,2420,1,1
195,0,0,4,195,18593765,18677988,84223,9,6,2,0,0,0,0,2420,1,1
196,0,0,0,196,18692631,18736593,43962,4,3,0,0,0,0,0,2420,1,1
197,0,0,2,197,18751243,18829463,78220,8,4,3,0,0,0,0,2420,1,1
198,0,0,3,198,18844109,18898459,54350,5,2,2,0,0,0,0,2420,1,1
199,0,0,3,199,18913105,18942134,29029,2,1,0,0,0,0,0,2420,1,1
200,0,0,3,200,18956784,19009674,52890,5,3,1,0,0,0,0,2420,1,1
201,0,0,1,201,19024320,19045914,21594,1,0,0,0,0,0,0,2420,1,1
202,0,0,3,202,19060564,19117840,57276,5,0,4,0,0,0,0,2420,1,1
203,0,0,1,203,19132481,19161525,29044,2,1,0,0,0,0,0,2420,1,1
204,0,0,1,204,19176179,19212684,36505,3,2,0,0,0,0,0,2420,1,1
205,0,0,0,205,19227337,19271330,43993,4,3,0,0,0,0,0,2420,1,1
206,0,0,3,206,19285984,19315014,29030,2,1,0,0,0,0,0,2420,1,1
207,0,0,2,207,19329656,19360141,30485,2,0,1,0,0,0,0,2420,1,1
208,0,0,2,208,19374787,19435143,60356,6,4,1,0,0,0,0,2420,1,1
209,0,0,2,209,19449785,19527970,78185,8,4,3,0,0,0,0,2420,1,1
210,0,0,0,210,19542613,19589522,46909,4,1,2,0,0,0,0,2420,1,1
211,0,0,3,211,19604176,19648116,43940,4,3,0,0,0,0,0,2420,1,1
212,0,0,1,212,19662762,19802121,139359,16,11,4,0,0,0,0,2420,1,1
213,0,0,3,213,19816780,19860726,43946,4,3,0,0,0,0,0,2420,1,1
214,0,0,3,214,19875371,19896950,21579,1,0,0,0,0,0,0,2420,1,1
215,0,0,0,215,19911592,20013630,102038,11,6,4,0,0,0,0,2420,1,1
216,0,0,0,216,20028282,20049877,21595,1,0,0,0,0,0,0,2420,1,1
217,0,0,0,217,20064531,20101047,36516,3,2,0,0,0,0,0,2420,1,1
218,0,0,1,218,20115702,20199918,84216,9,6,2,0,0,0,0,2420,1,1
219,0,0,1,219,20214572,20245083,30511,2,0,1,0,0,0,0,2420,1,1
220,0,0,4,220,20259733,20281312,21579,1,0,0,0,0,0,0,2420,1,1
221,0,0,4,221,20295958,20341365,45407,4,2,1,0,0,0,0,2420,1,1
222,0,0,2,222,20356012,20385071,29059,2,1,0,0,0,0,0,2420,1,1
223,0,0,4,223,20399712,20428744,29032,2,1,0,0,0,0,0,2420,1,1
224,0,0,1,224,20443390,20537991,94601,10,5,4,0,0,0,0,2420,1,1
225,0,0,4,225,20552643,20574225,21582,1,0,0,0,0,0,0,2420,1,1
226,0,0,0,226,20588868,20617948,29080,2,1,0,0,0,0,0,2420,1,1
227,0,0,2,227,20632598,20670533,37935,3,1,1,0,0,0,0,2420,1,1
228,0,0,0,228,20685179,20723131,37952,3,1,1,0,0,0,0,2420,1,1
229,0,0,0,229,20737781,20759375,21594,1,0,0,0,0,0,0,2420,1,1
230,0,0,3,230,20774030,20795608,21578,1,0,0,0,0,0,0,2420,1,1
231,0,0,0,231,20810250,20831844,21594,1,0,0,0,0,0,0,2420,1,1
232,0,0,4,232,20846502,20868085,21583,1,0,0,0,0,0,0,2420,1,1
233,0,0,3,233,20882735,20928154,45419,4,2,1,0,0,0,0,2420,1,1
234,0,0,0,234,20942808,20964407,21599,1,0,0,0,0,0,0,2420,1,1
235,0,0,1,235,20979065,21049811,70746,7,3,3,0,0,0,0,2420,1,1
236,0,0,4,236,21064474,21086056,21582,1,0,0,0,0,0,0,2420,1,1
237,0,0,1,237,21100705,21122304,21599,1,0,0,0,0,0,0,2420,1,1
238,0,0,0,238,21136965,21158564,21599,1,0,0,0,0,0,0,2420,1,1
239,0,0,4,239,21173225,21209744,36519,3,2,0,0,0,0,0,2420,1,1
240,0,0,3,240,21224398,21245980,21582,1,0,0,0,0,0,0,2420,1,1
241,0,0,2,241,21260630,21282212,21582,1,0,0,0,0,0,0,2420,1,1
242,0,0,0,242,21296866,21334834,37968,3,1,1,0,0,0,0,2420,1,1
243,0,0,0,243,21349492,21378539,29047,2,1,0,0,0,0,0,2420,1,1
244,0,0,1,244,21393200,21480286,87086,9,4,4,0,0,0,0,2420,1,1
245,0,0,2,245,21494947,21556788,61841,6,3,2,0,0,0,0,2420,1,1
246,0,0,2,246,21571438,21593024,21586,1,0,0,0,0,0,0,2420,1,1
247,0,0,2,247,21607675,21636721,29046,2,1,0,0,0,0,0,2420,1,1
248,0,0,2,248,21651371,21738467,87096,9,4,4,0,0,0,0,2420,1,1
249,0,0,0,249,21753117,21800058,46941,4,1,2,0,0,0,0,2420,1,1
250,0,0,2,250,21814721,21885484,70763,7,3,3,0,0,0,0,2420,1,1
251,0,0,2,251,21900134,22043751,143617,16,8,7,0,0,0,0,2420,1,1
252,0,0,4,252,22058404,22118739,60335,6,4,1,0,0,0,0,2420,1,1
253,0,0,2,253,22133392,22171326,37934,3,1,1,0,0,0,0,2420,1,1
254,0,0,0,254,22185981,22207579,21598,1,0,0,0,0,0,0,2420,1,1
255,0,0,0,255,22222238,22275151,52913,5,3,1,0,0,0,0,2420,1,1
256,0,0,1,256,22289808,22320310,30502,2,0,1,0,0,0,0,2420,1,1
257,0,0,3,257,22334973,22422166,87193,9,4,4,0,0,0,0,2420,1,1
258,0,0,2,258,22436820,22467334,30514,2,0,1,0,0,0,0,2420,1,1
259,0,0,0,259,22481984,22528881,46897,4,1,2,0,0,0,0,2420,1,1
260,0,0,2,260,22543544,22565126,21582,1,0,0,0,0,0,0,2420,1,1
261,0,0,3,261,22579776,22601358,21582,1,0,0,0,0,0,0,2420,1,1
262,0,0,3,262,22616012,22637594,21582,1,0,0,0,0,0,0,2420,1,1
263,0,0,2,263,22652244,22697667,45423,4,2,1,0,0,0,0,2420,1,1
264,0,0,1,264,22712318,22741396,29078,2,1,0,0,0,0,0,2420,1,1
265,0,0,0,265,22756058,22819330,63272,6,2,3,0,0,0,0,2420,1,1
266,0,0,0,266,22833992,22863053,29061,2,1,0,0,0,0,0,2420,1,1
267,0,0,0,267,22877711,22899309,21598,1,0,0,0,0,0,0,2420,1,1
268,0,0,4,268,22913971,22951944,37973,3,1,1,0,0,0,0,2420,1,1
269,0,0,2,269,22966598,23004556,37958,3,1,1,0,0,0,0,2420,1,1
270,0,0,3,270,23019206,23064639,45433,4,2,1,0,0,0,0,2420,1,1
271,0,0,3,271,23079290,23124694,45404,4,2,1,0,0,0,0,2420,1,1
272,0,0,2,272,23139345,23184813,45468,4,2,1,0,0,0,0,2420,1,1
273,0,0,2,273,23199463,23221046,21583,1,0,0,0,0,0,0,2420,1,1
274,0,0,0,274,23235700,23257298,21598,1,0,0,0,0,0,0,2420,1,1
275,0,0,4,275,23271957,23309915,37958,3,1,1,0,0,0,0,2420,1,1
276,0,0,2,276,23324570,23399899,75329,8,6,1,0,0,0,0,2420,1,1
277,0,0,0,277,23414554,23436153,21599,1,0,0,0,0,0,0,2420,1,1
278,0,0,4,278,23450811,23488767,37956,3,1,1,0,0,0,0,2420,1,1
279,0,0,0,279,23503421,23580195,76774,8,5,2,0,0,0,0,2420,1,1
280,0,0,3,280,23594857,23632800,37943,3,1,1,0,0,0,0,2420,1,1
281,0,0,1,281,23647451,23692869,45418,4,2,1,0,0,0,0,2420,1,1
282,0,0,4,282,23707527,23754404,46877,4,1,2,0,0,0,0,2420,1,1
283,0,0,0,283,23769054,23815937,46883,4,1,2,0,0,0,0,2420,1,1
284,0,0,4,284,23830595,24015966,185371,21,10,10,0,0,0,0,2420,1,1
285,0,0,1,285,24030622,24067157,36535,3,2,0,0,0,0,0,2420,1,1
286,0,0,0,286,24081815,24133260,51445,5,4,0,0,0,0,0,2420,1,1
287,0,0,2,287,24147917,24191877,43960,4,3,0,0,0,0,0,2420,1,1
288,0,0,4,288,24206530,24244527,37997,3,1,1,0,0,0,0,2420,1,1
289,0,0,4,289,24259177,24338955,79778,8,4,2,0,1,0,0,2420,1,1
290,0,0,0,290,24353610,24375208,21598,1,0,0,0,0,0,0,2420,1,1
