invocation_id,block,key_id,message_id,rand_index,start_us,end_us,elapsed_us,K,reject_z,reject_w0,reject_ct0,reject_hint,sign_rc,verify_rc,siglen,rng_ok,k_ok
0,0,0,4,0,6962977,6984640,21663,0,0,0,0,0,0,0,2420,1,-1
1,0,0,1,1,6999662,7021288,21626,0,0,0,0,0,0,0,2420,1,-1
2,0,0,1,2,7035948,7065037,29089,0,0,0,0,0,0,0,2420,1,-1
3,0,0,4,3,7079708,7101321,21613,0,0,0,0,0,0,0,2420,1,-1
4,0,0,2,4,7115989,7170363,54374,0,0,0,0,0,0,0,2420,1,-1
5,0,0,1,5,7185014,7215560,30546,0,0,0,0,0,0,0,2420,1,-1
6,0,0,2,6,7230215,7251821,21606,0,0,0,0,0,0,0,2420,1,-1
7,0,0,1,7,7266480,7288098,21618,0,0,0,0,0,0,0,2420,1,-1
8,0,0,0,8,7302756,7434675,131919,0,0,0,0,0,0,0,2420,1,-1
9,0,0,3,9,7449327,7537962,88635,0,0,0,0,0,0,0,2420,1,-1
10,0,0,0,10,7552597,7678532,125935,0,0,0,0,0,0,0,2420,1,-1
11,0,0,1,11,7693184,7714802,21618,0,0,0,0,0,0,0,2420,1,-1
12,0,0,0,12,7729449,7782399,52950,0,0,0,0,0,0,0,2420,1,-1
13,0,0,4,13,7797057,7833609,36552,0,0,0,0,0,0,0,2420,1,-1
14,0,0,0,14,7848264,7893694,45430,0,0,0,0,0,0,0,2420,1,-1
15,0,0,1,15,7908341,7929959,21618,0,0,0,0,0,0,0,2420,1,-1
16,0,0,3,16,7944610,8006472,61862,0,0,0,0,0,0,0,2420,1,-1
17,0,0,3,17,8021119,8078373,57254,0,0,0,0,0,0,0,2420,1,-1
18,0,0,0,18,8093015,8138503,45488,0,0,0,0,0,0,0,2420,1,-1
19,0,0,2,19,8153154,8183690,30536,0,0,0,0,0,0,0,2420,1,-1
20,0,0,3,20,8198329,8219935,21606,0,0,0,0,0,0,0,2420,1,-1
21,0,0,4,21,8234577,8348421,113844,0,0,0,0,0,0,0,2420,1,-1
22,0,0,4,22,8363077,8417484,54407,0,0,0,0,0,0,0,2420,1,-1
23,0,0,4,23,8432138,8453760,21622,0,0,0,0,0,0,0,2420,1,-1
24,0,0,2,24,8468414,8522773,54359,0,0,0,0,0,0,0,2420,1,-1
25,0,0,0,25,8537412,8559038,21626,0,0,0,0,0,0,0,2420,1,-1
26,0,0,1,26,8573688,8595303,21615,0,0,0,0,0,0,0,2420,1,-1
27,0,0,2,27,8609950,8671830,61880,0,0,0,0,0,0,0,2420,1,-1
28,0,0,0,28,8686480,8724495,38015,0,0,0,0,0,0,0,2420,1,-1
29,0,0,2,29,8739142,8808442,69300,0,0,0,0,0,0,0,2420,1,-1
30,0,0,3,30,8823085,8844692,21607,0,0,0,0,0,0,0,2420,1,-1
31,0,0,3,31,8859330,8880940,21610,0,0,0,0,0,0,0,2420,1,-1
32,0,0,0,32,8895583,8924687,29104,0,0,0,0,0,0,0,2420,1,-1
33,0,0,2,33,8939334,9002648,63314,0,0,0,0,0,0,0,2420,1,-1
34,0,0,1,34,9017290,9082195,64905,0,0,0,0,0,0,0,2420,1,-1
35,0,0,4,35,9096844,9209244,112400,0,0,0,0,0,0,0,2420,1,-1
