invocation_id,block,key_id,message_id,rand_index,start_us,end_us,elapsed_us,K,reject_z,reject_w0,reject_ct0,reject_hint,sign_rc,verify_rc,siglen,rng_ok,k_ok
10000,1,5,1,10000,6963224,7001589,38365,3,1,1,0,0,0,0,2420,1,1
10001,1,5,1,10001,7016701,7038394,21693,1,0,0,0,0,0,0,2420,1,1
10002,1,5,3,10002,7053142,7074835,21693,1,0,0,0,0,0,0,2420,1,1
10003,1,5,0,10003,7089582,7111272,21690,1,0,0,0,0,0,0,2420,1,1
10004,1,5,1,10004,7126023,7162650,36627,3,2,0,0,0,0,0,2420,1,1
10005,1,5,4,10005,7177409,7199098,21689,1,0,0,0,0,0,0,2420,1,1
10006,1,5,1,10006,7213841,7329405,115564,13,9,3,0,0,0,0,2420,1,1
10007,1,5,3,10007,7344167,7365840,21673,1,0,0,0,0,0,0,2420,1,1
10008,1,5,3,10008,7380579,7432101,51522,5,4,0,0,0,0,0,2420,1,1
10009,1,5,0,10009,7446852,7531143,84291,9,6,2,0,0,0,0,2420,1,1
10010,1,5,3,10010,7545895,7597430,51535,5,4,0,0,0,0,0,2420,1,1
10011,1,5,0,10011,7612178,7663700,51522,5,4,0,0,0,0,0,2420,1,1
10012,1,5,2,10012,7678447,7707582,29135,2,1,0,0,0,0,0,2420,1,1
10013,1,5,2,10013,7722334,7751461,29127,2,1,0,0,0,0,0,2420,1,1
10014,1,5,2,10014,7766204,7880359,114155,13,10,2,0,0,0,0,2420,1,1
10015,1,5,1,10015,7895115,7924254,29139,2,1,0,0,0,0,0,2420,1,1
10016,1,5,3,10016,7939001,7969582,30581,2,0,1,0,0,0,0,2420,1,1
10017,1,5,3,10017,7984333,8040162,55829,5,1,3,0,0,0,0,2420,1,1
10018,1,5,2,10018,8054905,8076578,21673,1,0,0,0,0,0,0,2420,1,1
10019,1,5,3,10019,8091326,8232377,141051,16,11,3,0,1,0,0,2420,1,1
10020,1,5,3,10020,8247125,8268798,21673,1,0,0,0,0,0,0,2420,1,1
10021,1,5,2,10021,8283550,8321602,38052,3,1,1,0,0,0,0,2420,1,1
10022,1,5,4,10022,8336346,8358019,21673,1,0,0,0,0,0,0,2420,1,1
10023,1,5,0,10023,8372770,8453920,81150,8,2,5,0,0,0,0,2420,1,1
10024,1,5,4,10024,8468667,8561917,93250,10,6,3,0,0,0,0,2420,1,1
10025,1,5,4,10025,8576662,8605793,29131,2,1,0,0,0,0,0,2420,1,1
10026,1,5,1,10026,8620528,8649686,29158,2,1,0,0,0,0,0,2420,1,1
10027,1,5,0,10027,8664437,8744156,79719,8,3,4,0,0,0,0,2420,1,1
10028,1,5,4,10028,8758900,8831214,72314,7,2,4,0,0,0,0,2420,1,1
10029,1,5,2,10029,8845957,8882537,36580,3,2,0,0,0,0,0,2420,1,1
10030,1,5,2,10030,8897275,8979888,82613,8,1,6,0,0,0,0,2420,1,1
10031,1,5,4,10031,8994631,9023760,29129,2,1,0,0,0,0,0,2420,1,1
10032,1,5,3,10032,9038496,9060169,21673,1,0,0,0,0,0,0,2420,1,1
10033,1,5,4,10033,9074912,9096585,21673,1,0,0,0,0,0,0,2420,1,1
10034,1,5,3,10034,9111321,9226705,115384,12,3,8,0,0,0,0,2420,1,1
10035,1,5,1,10035,9241447,9304829,63382,6,2,3,0,0,0,0,2420,1,1
10036,1,5,2,10036,9319572,9363601,44029,4,3,0,0,0,0,0,2420,1,1
10037,1,5,0,10037,9378340,9416410,38070,3,1,1,0,0,0,0,2420,1,1
10038,1,5,1,10038,9431154,9478138,46984,4,1,2,0,0,0,0,2420,1,1
10039,1,5,1,10039,9492890,9571216,78326,8,4,3,0,0,0,0,2420,1,1
10040,1,5,4,10040,9585963,9637490,51527,5,4,0,0,0,0,0,2420,1,1
10041,1,5,1,10041,9652229,9703791,51562,5,4,0,0,0,0,0,2420,1,1
10042,1,5,3,10042,9718534,9789366,70832,7,3,3,0,0,0,0,2420,1,1
10043,1,5,0,10043,9804109,9833248,29139,2,1,0,0,0,0,0,2420,1,1
10044,1,5,4,10044,9847991,9903850,55859,5,1,3,0,0,0,0,2420,1,1
10045,1,5,3,10045,9918590,9964133,45543,4,2,1,0,0,0,0,2420,1,1
10046,1,5,0,10046,9978869,10000557,21688,1,0,0,0,0,0,0,2420,1,1
10047,1,5,1,10047,10015310,10162105,146795,16,6,9,0,0,0,0,2420,1,1
10048,1,5,4,10048,10176858,10240197,63339,6,2,3,0,0,0,0,2420,1,1
10049,1,5,1,10049,10254943,10276632,21689,1,0,0,0,0,0,0,2420,1,1
10050,1,5,0,10050,10291377,10313070,21693,1,0,0,0,0,0,0,2420,1,1
10051,1,5,1,10051,10327820,10349509,21689,1,0,0,0,0,0,0,2420,1,1
10052,1,5,1,10052,10364259,10393413,29154,2,1,0,0,0,0,0,2420,1,1
10053,1,5,0,10053,10408162,10453711,45549,4,2,1,0,0,0,0,2420,1,1
10054,1,5,0,10054,10468457,10506496,38039,3,1,1,0,0,0,0,2420,1,1
10055,1,5,4,10055,10521246,10574267,53021,5,3,1,0,0,0,0,2420,1,1
10056,1,5,4,10056,10589005,10641982,52977,5,3,1,0,0,0,0,2420,1,1
10057,1,5,4,10057,10656728,10711173,54445,5,2,2,0,0,0,0,2420,1,1
10058,1,5,2,10058,10725914,10771424,45510,4,2,1,0,0,0,0,2420,1,1
10059,1,5,3,10059,10786171,10852398,66227,6,0,5,0,0,0,0,2420,1,1
10060,1,5,2,10060,10867140,10888813,21673,1,0,0,0,0,0,0,2420,1,1
10061,1,5,2,10061,10903559,10990746,87187,9,4,4,0,0,0,0,2420,1,1
10062,1,5,3,10062,11005488,11027160,21672,1,0,0,0,0,0,0,2420,1,1
10063,1,5,3,10063,11041902,11071028,29126,2,1,0,0,0,0,0,2420,1,1
10064,1,5,4,10064,11085769,11178989,93220,10,6,3,0,0,0,0,2420,1,1
10065,1,5,0,10065,11193737,11272057,78320,8,4,3,0,0,0,0,2420,1,1
10066,1,5,0,10066,11286806,11315977,29171,2,1,0,0,0,0,0,2420,1,1
10067,1,5,3,10067,11330726,11391142,60416,6,4,1,0,0,0,0,2420,1,1
10068,1,5,4,10068,11405884,11427558,21674,1,0,0,0,0,0,0,2420,1,1
10069,1,5,0,10069,11442302,11463995,21693,1,0,0,0,0,0,0,2420,1,1
10070,1,5,0,10070,11478740,11646477,167737,19,10,8,0,0,0,0,2420,1,1
10071,1,5,1,10071,11661230,11706752,45522,4,2,1,0,0,0,0,2420,1,1
10072,1,5,0,10072,11721497,11783452,61955,6,3,2,0,0,0,0,2420,1,1
10073,1,5,2,10073,11798203,11827334,29131,2,1,0,0,0,0,0,2420,1,1
10074,1,5,4,10074,11842071,11897981,55910,5,1,3,0,0,0,0,2420,1,1
10075,1,5,3,10075,11912723,11950775,38052,3,1,1,0,0,0,0,2420,1,1
10076,1,5,0,10076,11965517,11987205,21688,1,0,0,0,0,0,0,2420,1,1
10077,1,5,4,10077,12001956,12054981,53025,5,3,1,0,0,0,0,2420,1,1
10078,1,5,4,10078,12069719,12100304,30585,2,0,1,0,0,0,0,2420,1,1
10079,1,5,3,10079,12115049,12175455,60406,6,4,1,0,0,0,0,2420,1,1
10080,1,5,0,10080,12190193,12211881,21688,1,0,0,0,0,0,0,2420,1,1
10081,1,5,1,10081,12226634,12248323,21689,1,0,0,0,0,0,0,2420,1,1
10082,1,5,1,10082,12263071,12284761,21690,1,0,0,0,0,0,0,2420,1,1
10083,1,5,3,10083,12299510,12362850,63340,6,2,3,0,0,0,0,2420,1,1
10084,1,5,3,10084,12377587,12399261,21674,1,0,0,0,0,0,0,2420,1,1
10085,1,5,3,10085,12414007,12481963,67956,7,5,1,0,0,0,0,2420,1,1
10086,1,5,1,10086,12496704,12597377,100673,11,7,3,0,0,0,0,2420,1,1
10087,1,5,0,10087,12612130,12648739,36609,3,2,0,0,0,0,0,2420,1,1
10088,1,5,3,10088,12663488,12741720,78232,8,4,3,0,0,0,0,2420,1,1
10089,1,5,2,10089,12756466,12778139,21673,1,0,0,0,0,0,0,2420,1,1
10090,1,5,1,10090,12792876,12853383,60507,6,4,1,0,0,0,0,2420,1,1
10091,1,5,0,10091,12868132,12953856,85724,9,5,3,0,0,0,0,2420,1,1
10092,1,5,2,10092,12968598,13045428,76830,8,5,2,0,0,0,0,2420,1,1
10093,1,5,4,10093,13060170,13107157,46987,4,1,2,0,0,0,0,2420,1,1
10094,1,5,3,10094,13121892,13174855,52963,5,3,1,0,0,0,0,2420,1,1
10095,1,5,2,10095,13189596,13293172,103576,11,5,5,0,0,0,0,2420,1,1
10096,1,5,2,10096,13307909,13329582,21673,1,0,0,0,0,0,0,2420,1,1
10097,1,5,1,10097,13344327,13382386,38059,3,1,1,0,0,0,0,2420,1,1
10098,1,5,4,10098,13397132,13457591,60459,6,4,1,0,0,0,0,2420,1,1
10099,1,5,1,10099,13472333,13544586,72253,7,2,4,0,0,0,0,2420,1,1
10100,1,5,3,10100,13559328,13607778,48450,4,0,3,0,0,0,0,2420,1,1
