board,uid,set,boot_block,key,message,repetition,partition,index,start_us,sign_us,verify_us,K,n_z,n_w0,n_ct0,n_hint,sha256
rp2040_1,E66368254F75782F,87,0,7,3,127,calibration,0,52147994,340771,120119,4,1,2,0,0,c06da68718352dcae1c1433fbdcfabbb07a631ef07e574bbda16f4b3ee7a3e24
rp2040_1,E66368254F75782F,87,0,0,1,58,calibration,1,52632519,169250,120146,1,0,0,0,0,b8ff0483f2eb0e282cc9db6432ec76984d83f4dbc65a3af23762677c60335125
rp2040_1,E66368254F75782F,87,0,4,0,121,calibration,2,52945651,290763,120128,3,0,2,0,0,7b7ff0f2e9bcf3b0f0c14c515d7276512c69ed83d9d60f5b45fac6240a704feb
rp2040_1,E66368254F75782F,87,0,6,0,29,calibration,3,53380553,169329,120134,1,0,0,0,0,fa602fcbf5a5747a0fdd7199c68fa5f866aac8ec3172bb11841519aa91f5ce22
rp2040_1,E66368254F75782F,87,0,2,4,28,calibration,4,53697474,219309,120125,2,1,0,0,0,976aba08155c8a8db5fd75aba4ec735feae4474199d54cf30c2f3a8c4f0f307d
rp2040_1,E66368254F75782F,87,0,5,3,72,calibration,5,54061594,522805,120129,7,1,5,0,0,4c4e7b38050ffec569b02e8aa5923203cbf5e74b6bfbc4a6a207272eb08702e0
rp2040_1,E66368254F75782F,87,0,9,0,13,unseen_key,6,54728635,169332,120127,1,0,0,0,0,622a0a305bffeda98a598d37a678a6c0657171efc8539f6962bb610fc16ebcd0
rp2040_1,E66368254F75782F,87,0,9,1,156,unseen_key,7,55042387,169263,120137,1,0,0,0,0,68c158d2c4216ecc4f709c3719dd9d6a5e9f4cfcd3550c2054f87fe4f5087dec
rp2040_1,E66368254F75782F,87,0,8,3,83,unseen_key,8,55357360,280004,120136,3,1,1,0,0,f5b50bf620f981e9f82576bb5502bbc6d7d446b86e1c6f2cb215ec470266f5ad
rp2040_1,E66368254F75782F,87,0,2,1,113,calibration,9,55781197,169299,120151,1,0,0,0,0,5b91237c92c1a149b8c0f724905f57ec30800ff304cc532cf5baf60dfa502380
