invocation_id,block,key_id,message_id,rand_index,start_us,end_us,elapsed_us,K,reject_z,reject_w0,reject_ct0,reject_hint,sign_rc,verify_rc,siglen,rng_ok,k_ok
0,0,0,4,0,6978461,7000043,21582,1,0,0,0,0,0,0,2420,1,1
1,0,0,1,1,7018698,7040295,21597,1,0,0,0,0,0,0,2420,1,1
2,0,0,1,2,7058575,7087641,29066,2,1,0,0,0,0,0,2420,1,1
3,0,0,4,3,7111905,7133492,21587,1,0,0,0,0,0,0,2420,1,1
4,0,0,2,4,7151767,7206138,54371,5,2,2,0,0,0,0,2420,1,1
5,0,0,1,5,7256356,7286868,30512,2,0,1,0,0,0,0,2420,1,1
6,0,0,2,6,7315125,7336707,21582,1,0,0,0,0,0,0,2420,1,1
7,0,0,1,7,7354981,7376563,21582,1,0,0,0,0,0,0,2420,1,1
8,0,0,0,8,7394837,7526778,131941,15,10,4,0,0,0,0,2420,1,1
9,0,0,3,9,7647060,7735692,88632,9,3,5,0,0,0,0,2420,1,1
10,0,0,0,10,7821848,7947805,125957,14,8,5,0,0,0,0,2420,1,1
11,0,0,1,11,8070953,8092534,21581,1,0,0,0,0,0,0,2420,1,1
12,0,0,0,12,8111422,8164370,52948,5,3,1,0,0,0,0,2420,1,1
13,0,0,4,13,8212432,8248953,36521,3,2,0,0,0,0,0,2420,1,1
14,0,0,0,14,8280340,8325762,45422,4,2,1,0,0,0,0,2420,1,1
15,0,0,1,15,8367574,8389156,21582,1,0,0,0,0,0,0,2420,1,1
16,0,0,3,16,8408043,8469895,61852,6,3,2,0,0,0,0,2420,1,1
17,0,0,3,17,8528366,8585608,57242,5,0,4,0,0,0,0,2420,1,1
18,0,0,0,18,8646158,8691637,45479,4,2,1,0,0,0,0,2420,1,1
19,0,0,2,19,8733453,8763965,30512,2,0,1,0,0,0,0,2420,1,1
20,0,0,3,20,8793265,8814848,21583,1,0,0,0,0,0,0,2420,1,1
21,0,0,4,21,8833731,8947575,113844,12,4,7,0,0,0,0,2420,1,1
22,0,0,4,22,9065676,9120063,54387,5,2,2,0,0,0,0,2420,1,1
23,0,0,4,23,9172283,9193870,21587,1,0,0,0,0,0,0,2420,1,1
24,0,0,2,24,9212761,9267104,54343,5,2,2,0,0,0,0,2420,1,1
25,0,0,0,25,9319321,9340927,21606,1,0,0,0,0,0,0,2420,1,1
26,0,0,1,26,9359826,9381409,21583,1,0,0,0,0,0,0,2420,1,1
27,0,0,2,27,9400297,9462163,61866,6,3,2,0,0,0,0,2420,1,1
28,0,0,0,28,9520633,9558638,38005,3,1,1,0,0,0,0,2420,1,1
29,0,0,2,29,9594204,9663493,69289,7,4,2,0,0,0,0,2420,1,1
30,0,0,3,30,9728210,9749792,21582,1,0,0,0,0,0,0,2420,1,1
31,0,0,3,31,9768680,9790262,21582,1,0,0,0,0,0,0,2420,1,1
32,0,0,0,32,9809151,9838241,29090,2,1,0,0,0,0,0,2420,1,1
33,0,0,2,33,9863386,9926689,63303,6,2,3,0,0,0,0,2420,1,1
34,0,0,1,34,9989322,10054213,64891,6,2,2,0,1,0,0,2420,1,1
35,0,0,4,35,10119190,10231587,112397,12,5,6,0,0,0,0,2420,1,1
36,0,0,1,36,10350039,10405838,55799,5,1,3,0,0,0,0,2420,1,1
37,0,0,2,37,10464392,10529120,64728,6,1,4,0,0,0,0,2420,1,1
38,0,0,4,38,10598528,10761880,163352,19,13,5,0,0,0,0,2420,1,1
39,0,0,1,39,10923996,10960494,36498,3,2,0,0,0,0,0,2420,1,1
40,0,0,2,40,10993012,11014594,21582,1,0,0,0,0,0,0,2420,1,1
41,0,0,4,41,11034086,11064586,30500,2,0,1,0,0,0,0,2420,1,1
42,0,0,0,42,11094930,11132937,38007,3,1,1,0,0,0,0,2420,1,1
43,0,0,4,43,11169803,11200309,30506,2,0,1,0,0,0,0,2420,1,1
44,0,0,3,44,11230656,11252238,21582,1,0,0,0,0,0,0,2420,1,1
45,0,0,4,45,11271734,11341035,69301,7,4,2,0,0,0,0,2420,1,1
46,0,0,1,46,11408274,11429856,21582,1,0,0,0,0,0,0,2420,1,1
47,0,0,3,47,11449352,11520099,70747,7,3,3,0,0,0,0,2420,1,1
48,0,0,2,48,11591678,11613264,21586,1,0,0,0,0,0,0,2420,1,1
49,0,0,3,49,11632760,11777911,145151,16,7,8,0,0,0,0,2420,1,1
50,0,0,4,50,11932644,12033221,100577,11,7,3,0,0,0,0,2420,1,1
51,0,0,1,51,12131706,12217366,85660,9,5,3,0,0,0,0,2420,1,1
52,0,0,3,52,12301961,12366709,64748,6,1,4,0,0,0,0,2420,1,1
53,0,0,4,53,12436114,12457696,21582,1,0,0,0,0,0,0,2420,1,1
54,0,0,4,54,12477188,12498770,21582,1,0,0,0,0,0,0,2420,1,1
55,0,0,3,55,12518265,12609906,91641,9,2,5,0,1,0,0,2420,1,1
56,0,0,4,56,12707530,12729113,21583,1,0,0,0,0,0,0,2420,1,1
57,0,0,1,57,12748608,12770190,21582,1,0,0,0,0,0,0,2420,1,1
58,0,0,2,58,12789686,12903690,114004,12,5,5,0,1,0,0,2420,1,1
59,0,0,1,59,13022313,13043899,21586,1,0,0,0,0,0,0,2420,1,1
60,0,0,3,60,13063392,13157953,94561,10,5,4,0,0,0,0,2420,1,1
61,0,0,2,61,13253920,13291883,37963,3,1,1,0,0,0,0,2420,1,1
62,0,0,4,62,13328740,13375636,46896,4,1,2,0,0,0,0,2420,1,1
63,0,0,1,63,13423339,13589486,166147,19,11,7,0,0,0,0,2420,1,1
64,0,0,0,64,13760629,13791144,30515,2,0,1,0,0,0,0,2420,1,1
65,0,0,0,65,13821502,13874475,52973,5,3,1,0,0,0,0,2420,1,1
66,0,0,2,66,13924361,13962309,37948,3,1,1,0,0,0,0,2420,1,1
67,0,0,4,67,13999166,14120541,121375,13,5,7,0,0,0,0,2420,1,1
