invocation,candidate,label,t_us,overflow
0,1,0,6989362,0
0,1,1,6995452,0
0,1,2,6996906,0
0,1,3,6998328,0
0,1,8,6999966,0
1,1,0,7029615,0
1,1,1,7035705,0
1,1,2,7037158,0
1,1,3,7038581,0
1,1,8,7040218,0
2,1,0,7069476,0
2,1,1,7075566,0
2,1,4,7077015,0
2,2,0,7077016,0
2,2,1,7083050,0
2,2,2,7084504,0
2,2,3,7085926,0
2,2,8,7087564,0
3,1,0,7122811,0
3,1,1,7128896,0
3,1,2,7130350,0
3,1,3,7131773,0
3,1,8,7133414,0
4,1,0,7162683,0
4,1,1,7168773,0
4,1,2,7170227,0
4,1,3,7171653,0
4,1,5,7171676,0
4,2,0,7171677,0
4,2,1,7177711,0
4,2,4,7179141,0
4,3,0,7179142,0
4,3,1,7185176,0
4,3,2,7186630,0
4,3,3,7188045,0
4,3,5,7188047,0
4,4,0,7188048,0
4,4,1,7194083,0
4,4,4,7195519,0
4,5,0,7195520,0
4,5,1,7201550,0
4,5,2,7203008,0
4,5,3,7204423,0
4,5,8,7206060,0
5,1,0,7267257,0
5,1,1,7273347,0
5,1,2,7274800,0
5,1,3,7276223,0
5,1,5,7276249,0
5,2,0,7276250,0
5,2,1,7282281,0
5,2,2,7283738,0
5,2,3,7285153,0
5,2,8,7286790,0
6,1,0,7326026,0
6,1,1,7332112,0
6,1,2,7333569,0
6,1,3,7334992,0
6,1,8,7336629,0
7,1,0,7365882,0
7,1,1,7371968,0
7,1,2,7373426,0
7,1,3,7374848,0
7,1,8,7376486,0
8,1,0,7405750,0
8,1,1,7411848,0
8,1,4,7413273,0
8,2,0,7413274,0
8,2,1,7419304,0
8,2,2,7420758,0
8,2,3,7422180,0
8,2,5,7422190,0
8,3,0,7422190,0
8,3,1,7428225,0
8,3,4,7429660,0
8,4,0,7429661,0
8,4,1,7435696,0
8,4,4,7437134,0
8,5,0,7437135,0
8,5,1,7443169,0
8,5,2,7444623,0
8,5,3,7446037,0
8,5,5,7446040,0
8,6,0,7446040,0
8,6,1,7452071,0
8,6,2,7453528,0
8,6,3,7454943,0
8,6,5,7454981,0
8,7,0,7454982,0
8,7,1,7461013,0
8,7,4,7462440,0
8,8,0,7462441,0
8,8,1,7468475,0
8,8,4,7469896,0
8,9,0,7469897,0
8,9,1,7475932,0
8,9,4,7477385,0
8,10,0,7477386,0
8,10,1,7483420,0
8,10,4,7484857,0
8,11,0,7484858,0
8,11,1,7490889,0
8,11,2,7492342,0
8,11,3,7493761,0
8,11,5,7493787,0
8,12,0,7493788,0
8,12,1,7499819,0
8,12,4,7501235,0
8,13,0,7501236,0
8,13,1,7507271,0
8,13,4,7508697,0
8,14,0,7508698,0
8,14,1,7514732,0
8,14,4,7516159,0
8,15,0,7516160,0
8,15,1,7522191,0
8,15,2,7523648,0
8,15,3,7525063,0
8,15,8,7526700,0
9,1,0,7657973,0
9,1,1,7664063,0
9,1,2,7665517,0
9,1,3,7666939,0
9,1,5,7666966,0
9,2,0,7666967,0
9,2,1,7673001,0
9,2,2,7674455,0
9,2,3,7675870,0
9,2,5,7675905,0
9,3,0,7675906,0
9,3,1,7681936,0
9,3,4,7683383,0
9,4,0,7683384,0
9,4,1,7689414,0
9,4,4,7690837,0
9,5,0,7690838,0
9,5,1,7696873,0
9,5,2,7698326,0
9,5,3,7699741,0
9,5,5,7699764,0
9,6,0,7699764,0
9,6,1,7705799,0
9,6,2,7707253,0
9,6,3,7708667,0
9,6,5,7708692,0
9,7,0,7708693,0
9,7,1,7714727,0
9,7,4,7716149,0
9,8,0,7716150,0
9,8,1,7722181,0
9,8,2,7723638,0
9,8,3,7725053,0
9,8,5,7725074,0
9,9,0,7725074,0
9,9,1,7731105,0
9,9,2,7732559,0
9,9,3,7733978,0
9,9,8,7735615,0
10,1,0,7832766,0
10,1,1,7838863,0
10,1,4,7840293,0
10,2,0,7840294,0
10,2,1,7846328,0
10,2,4,7847749,0
10,3,0,7847750,0
10,3,1,7853784,0
10,3,2,7855237,0
10,3,3,7856660,0
10,3,5,7856672,0
10,4,0,7856673,0
10,4,1,7862708,0
10,4,4,7864152,0
10,5,0,7864153,0
10,5,1,7870184,0
10,5,4,7871616,0
10,6,0,7871617,0
10,6,1,7877652,0
10,6,2,7879105,0
10,6,3,7880520,0
10,6,5,7880523,0
10,7,0,7880523,0
10,7,1,7886558,0
10,7,4,7887988,0
10,8,0,7887989,0
10,8,1,7894024,0
10,8,4,7895470,0
10,9,0,7895471,0
10,9,1,7901502,0
10,9,4,7902942,0
10,10,0,7902943,0
10,10,1,7908973,0
10,10,2,7910426,0
10,10,3,7911841,0
10,10,5,7911865,0
10,11,0,7911866,0
10,11,1,7917900,0
10,11,2,7919353,0
10,11,3,7920768,0
10,11,5,7920789,0
10,12,0,7920790,0
10,12,1,7926825,0
10,12,4,7928243,0
10,13,0,7928244,0
10,13,1,7934279,0
10,13,2,7935732,0
10,13,3,7937147,0
10,13,5,7937186,0
10,14,0,7937187,0
10,14,1,7943221,0
10,14,2,7944675,0
10,14,3,7946090,0
10,14,8,7947727,0
11,1,0,8081854,0
11,1,1,8087943,0
11,1,2,8089397,0
11,1,3,8090820,0
11,1,8,8092457,0
12,1,0,8122335,0
12,1,1,8128437,0
12,1,2,8129890,0
12,1,3,8131313,0
12,1,5,8131322,0
12,2,0,8131323,0
12,2,1,8137357,0
12,2,4,8138789,0
12,3,0,8138789,0
12,3,1,8144824,0
12,3,4,8146266,0
12,4,0,8146267,0
12,4,1,8152297,0
12,4,4,8153752,0
12,5,0,8153752,0
12,5,1,8159783,0
12,5,2,8161236,0
12,5,3,8162651,0
12,5,8,8164292,0
13,1,0,8223337,0
13,1,1,8229423,0
13,1,4,8230862,0
13,2,0,8230863,0
13,2,1,8236897,0
13,2,4,8238326,0
13,3,0,8238327,0
13,3,1,8244362,0
13,3,2,8245815,0
13,3,3,8247238,0
13,3,8,8248875,0
14,1,0,8291253,0
14,1,1,8297355,0
14,1,4,8298773,0
14,2,0,8298774,0
14,2,1,8304809,0
14,2,2,8306262,0
14,2,3,8307685,0
14,2,5,8307689,0
14,3,0,8307690,0
14,3,1,8313724,0
14,3,4,8315144,0
14,4,0,8315145,0
14,4,1,8321175,0
14,4,2,8322629,0
14,4,3,8324047,0
14,4,8,8325685,0
15,1,0,8378475,0
15,1,1,8384565,0
15,1,2,8386019,0
15,1,3,8387441,0
15,1,8,8389079,0
16,1,0,8418945,0
16,1,1,8425035,0
16,1,2,8426488,0
16,1,3,8427911,0
16,1,5,8427920,0
16,2,0,8427920,0
16,2,1,8433955,0
16,2,4,8435406,0
16,3,0,8435407,0
16,3,1,8441437,0
16,3,4,8442893,0
16,4,0,8442893,0
16,4,1,8448924,0
16,4,2,8450377,0
16,4,3,8451792,0
16,4,5,8451794,0
16,5,0,8451794,0
16,5,1,8457829,0
16,5,4,8459277,0
16,6,0,8459277,0
16,6,1,8465312,0
16,6,2,8466766,0
16,6,3,8468180,0
16,6,8,8469818,0
17,1,0,8539267,0
17,1,1,8545357,0
17,1,2,8546811,0
17,1,3,8548233,0
17,1,5,8548253,0
17,2,0,8548254,0
17,2,1,8554289,0
17,2,2,8555742,0
17,2,3,8557157,0
17,2,5,8557167,0
17,3,0,8557168,0
17,3,1,8563202,0
17,3,2,8564656,0
17,3,3,8566070,0
17,3,5,8566082,0
17,4,0,8566083,0
17,4,1,8572113,0
17,4,2,8573571,0
17,4,3,8574986,0
17,4,5,8574989,0
17,5,0,8574990,0
17,5,1,8581020,0
17,5,2,8582474,0
17,5,3,8583893,0
17,5,8,8585530,0
18,1,0,8657070,0
18,1,1,8663172,0
18,1,2,8664626,0
18,1,3,8666048,0
18,1,5,8666075,0
18,2,0,8666076,0
18,2,1,8672106,0
18,2,4,8673558,0
18,3,0,8673559,0
18,3,1,8679589,0
18,3,4,8681019,0
18,4,0,8681019,0
18,4,1,8687054,0
18,4,2,8688508,0
18,4,3,8689922,0
18,4,8,8691560,0
19,1,0,8744355,0
19,1,1,8750441,0
19,1,2,8751894,0
19,1,3,8753321,0
19,1,5,8753346,0
19,2,0,8753347,0
19,2,1,8759378,0
19,2,2,8760831,0
19,2,3,8762246,0
19,2,8,8763888,0
20,1,0,8804167,0
20,1,1,8810252,0
20,1,2,8811706,0
20,1,3,8813133,0
20,1,8,8814770,0
21,1,0,8844632,0
21,1,1,8850718,0
21,1,2,8852172,0
21,1,3,8853598,0
21,1,5,8853625,0
21,2,0,8853626,0
21,2,1,8859656,0
21,2,2,8861110,0
21,2,3,8862525,0
21,2,5,8862538,0
21,3,0,8862539,0
21,3,1,8868573,0
21,3,4,8870011,0
21,4,0,8870012,0
21,4,1,8876046,0
21,4,2,8877500,0
21,4,3,8878915,0
21,4,5,8878929,0
21,5,0,8878930,0
21,5,1,8884965,0
21,5,4,8886389,0
21,6,0,8886390,0
21,6,1,8892420,0
21,6,2,8893878,0
21,6,3,8895293,0
21,6,5,8895322,0
21,7,0,8895323,0
21,7,1,8901354,0
21,7,4,8902773,0
21,8,0,8902773,0
21,8,1,8908804,0
21,8,2,8910257,0
21,8,3,8911672,0
21,8,5,8911674,0
21,9,0,8911675,0
21,9,1,8917710,0
21,9,2,8919163,0
21,9,3,8920578,0
21,9,5,8920587,0
21,10,0,8920588,0
21,10,1,8926622,0
21,10,4,8928042,0
21,11,0,8928043,0
21,11,1,8934078,0
21,11,2,8935532,0
21,11,3,8936946,0
21,11,5,8936956,0
21,12,0,8936957,0
21,12,1,8942992,0
21,12,2,8944445,0
21,12,3,8945860,0
21,12,8,8947497,0
22,1,0,9076577,0
22,1,1,9082663,0
22,1,4,9084112,0
22,2,0,9084113,0
22,2,1,9090143,0
22,2,2,9091597,0
22,2,3,9093024,0
