board,set,invocation,key,message,partition,attempt,reason,entry_us,z_check_us,w0_check_us,ct0_check_us,hint_check_us,exit_us,attempt_us
rp2040_1,87,0,0,0,diagnostic_calibration,1,2,96490,146604,157379,0,0,157396,60906
rp2040_1,87,0,0,0,diagnostic_calibration,2,0,157401,207259,218006,228597,229502,229506,72105
rp2040_1,87,1,1,0,diagnostic_calibration,1,1,96554,146674,0,0,0,146703,50149
rp2040_1,87,1,1,0,diagnostic_calibration,2,2,146709,196550,207312,0,0,207464,60755
rp2040_1,87,1,1,0,diagnostic_calibration,3,1,207466,257289,0,0,0,257368,49902
rp2040_1,87,1,1,0,diagnostic_calibration,4,1,257370,307181,0,0,0,307321,49951
rp2040_1,87,1,1,0,diagnostic_calibration,5,1,307323,357140,0,0,0,357188,49865
rp2040_1,87,1,1,0,diagnostic_calibration,6,1,357189,407006,0,0,0,407050,49861
rp2040_1,87,1,1,0,diagnostic_calibration,7,0,407052,456862,467609,478200,479106,479110,72058
rp2040_1,87,2,2,0,diagnostic_calibration,1,0,96520,146617,157391,167988,168893,168899,72379
rp2040_1,87,3,3,0,diagnostic_calibration,1,1,96488,146580,0,0,0,146721,50233
rp2040_1,87,3,3,0,diagnostic_calibration,2,0,146726,196576,207338,217935,218840,218845,72119
rp2040_1,87,4,4,0,diagnostic_calibration,1,1,96530,146647,0,0,0,146697,50167
rp2040_1,87,4,4,0,diagnostic_calibration,2,2,146703,196546,207309,0,0,207441,60738
rp2040_1,87,4,4,0,diagnostic_calibration,3,0,207443,257278,268025,278616,279522,279527,72084
rp2040_1,87,5,5,0,diagnostic_holdout,1,1,96520,146633,0,0,0,146815,50295
rp2040_1,87,5,5,0,diagnostic_holdout,2,2,146821,196664,207426,0,0,207446,60625
rp2040_1,87,5,5,0,diagnostic_holdout,3,0,207450,257273,268018,278610,279515,279518,72068
rp2040_1,87,6,6,0,diagnostic_holdout,1,2,96514,146618,157393,0,0,157418,60904
rp2040_1,87,6,6,0,diagnostic_holdout,2,2,157423,207270,218020,0,0,218176,60753
rp2040_1,87,6,6,0,diagnostic_holdout,3,2,218178,268004,278749,0,0,278808,60630
rp2040_1,87,6,6,0,diagnostic_holdout,4,2,278810,328626,339370,0,0,339487,60677
rp2040_1,87,6,6,0,diagnostic_holdout,5,1,339488,389297,0,0,0,389446,49958
rp2040_1,87,6,6,0,diagnostic_holdout,6,0,389447,439259,450003,460593,461499,461504,72057
rp2040_1,87,7,7,0,diagnostic_holdout,1,1,96512,146608,0,0,0,146640,50128
rp2040_1,87,7,7,0,diagnostic_holdout,2,1,146645,196492,0,0,0,196520,49875
rp2040_1,87,7,7,0,diagnostic_holdout,3,2,196522,246343,257106,0,0,257135,60613
rp2040_1,87,7,7,0,diagnostic_holdout,4,1,257136,306960,0,0,0,307105,49969
rp2040_1,87,7,7,0,diagnostic_holdout,5,2,307106,356920,367666,0,0,367818,60712
rp2040_1,87,7,7,0,diagnostic_holdout,6,1,367819,417636,0,0,0,417775,49956
rp2040_1,87,7,7,0,diagnostic_holdout,7,2,417777,467593,478338,0,0,478373,60596
rp2040_1,87,7,7,0,diagnostic_holdout,8,2,478374,528184,538928,0,0,538931,60557
rp2040_1,87,7,7,0,diagnostic_holdout,9,1,538932,588745,0,0,0,588841,49909
rp2040_1,87,7,7,0,diagnostic_holdout,10,0,588842,638657,649401,659991,660897,660902,72060
rp2040_1,87,8,8,0,diagnostic_holdout,1,1,96558,146672,0,0,0,146854,50296
rp2040_1,87,8,8,0,diagnostic_holdout,2,1,146861,196702,0,0,0,196765,49904
rp2040_1,87,8,8,0,diagnostic_holdout,3,1,196766,246597,0,0,0,246659,49893
rp2040_1,87,8,8,0,diagnostic_holdout,4,0,246661,296483,307244,317841,318746,318750,72089
rp2040_1,87,9,9,0,diagnostic_holdout,1,1,96516,146636,0,0,0,146814,50298
rp2040_1,87,9,9,0,diagnostic_holdout,2,2,146821,196664,207428,0,0,207558,60737
rp2040_1,87,9,9,0,diagnostic_holdout,3,1,207559,257386,0,0,0,257434,49875
rp2040_1,87,9,9,0,diagnostic_holdout,4,0,257436,307244,317989,328579,329484,329489,72053
rp2040_1,87,10,0,1,diagnostic_calibration,1,1,96498,146588,0,0,0,146740,50242
rp2040_1,87,10,0,1,diagnostic_calibration,2,0,146745,196587,207351,217948,218853,218857,72112
rp2040_1,87,11,1,1,diagnostic_calibration,1,1,96518,146632,0,0,0,146699,50181
rp2040_1,87,11,1,1,diagnostic_calibration,2,2,146705,196545,207310,0,0,207393,60688
rp2040_1,87,11,1,1,diagnostic_calibration,3,1,207395,257223,0,0,0,257263,49868
rp2040_1,87,11,1,1,diagnostic_calibration,4,2,257264,307078,317823,0,0,317964,60700
rp2040_1,87,11,1,1,diagnostic_calibration,5,0,317966,367781,378525,389115,390020,390024,72058
rp2040_1,87,12,2,1,diagnostic_calibration,1,2,96521,146627,157401,0,0,157479,60958
rp2040_1,87,12,2,1,diagnostic_calibration,2,1,157484,207344,0,0,0,207450,49966
rp2040_1,87,12,2,1,diagnostic_calibration,3,2,207454,257275,268024,0,0,268038,60584
rp2040_1,87,12,2,1,diagnostic_calibration,4,1,268041,317861,0,0,0,317894,49853
rp2040_1,87,12,2,1,diagnostic_calibration,5,0,317895,367714,378458,389048,389954,389959,72064
rp2040_1,87,13,3,1,diagnostic_calibration,1,1,96509,146614,0,0,0,146801,50292
rp2040_1,87,13,3,1,diagnostic_calibration,2,1,146807,196653,0,0,0,196754,49947
rp2040_1,87,13,3,1,diagnostic_calibration,3,1,196757,246577,0,0,0,246586,49829
rp2040_1,87,13,3,1,diagnostic_calibration,4,2,246587,296404,307165,0,0,307183,60596
rp2040_1,87,13,3,1,diagnostic_calibration,5,1,307185,357004,0,0,0,357033,49848
rp2040_1,87,13,3,1,diagnostic_calibration,6,2,357034,406850,417596,0,0,417770,60736
rp2040_1,87,13,3,1,diagnostic_calibration,7,0,417771,467582,478326,488917,489823,489827,72056
rp2040_1,87,14,4,1,diagnostic_calibration,1,2,96522,146642,157417,0,0,157449,60927
rp2040_1,87,14,4,1,diagnostic_calibration,2,0,157454,207316,218065,228657,229562,229565,72111
rp2040_1,87,15,5,1,diagnostic_holdout,1,2,96533,146650,157424,0,0,157493,60960
