replicate,mode,period_ms,hist_bucket_us,start_jitter,completion_response
1,inline,100,0,33001,32907
1,inline,100,500,563,657
1,inline,100,1000,94,94
1,inline,100,1500,0,0
1,inline,100,2000,563,563
1,inline,100,2500,281,281
1,inline,100,3000,1593,1593
1,inline,100,3500,375,281
1,inline,100,4000,95,189
1,inline,100,4500,94,94
1,inline,100,5000,187,187
1,inline,100,5500,375,375
1,inline,100,6000,93,93
1,inline,100,6500,188,188
1,inline,100,7000,93,93
1,inline,100,7500,94,94
1,inline,100,8000,562,468
1,inline,100,8500,94,188
1,inline,100,9000,93,93
1,inline,100,9500,375,375
1,inline,100,10000,0,0
1,inline,100,10500,0,0
1,inline,100,11000,0,0
1,inline,100,11500,0,0
1,inline,100,12000,0,0
1,inline,100,12500,0,0
1,inline,100,13000,0,0
1,inline,100,13500,0,0
1,inline,100,14000,0,0
1,inline,100,14500,0,0
1,inline,100,15000,0,0
1,inline,100,15500,0,0
1,inline,250,0,49232,49194
1,inline,250,500,263,301
1,inline,250,1000,75,75
1,inline,250,1500,0,0
1,inline,250,2000,226,226
1,inline,250,2500,113,113
1,inline,250,3000,635,635
1,inline,250,3500,150,112
1,inline,250,4000,39,77
1,inline,250,4500,0,0
1,inline,250,5000,75,75
1,inline,250,5500,189,189
1,inline,250,6000,37,37
1,inline,250,6500,75,75
1,inline,250,7000,37,37
1,inline,250,7500,37,37
1,inline,250,8000,149,149
1,inline,250,8500,38,38
1,inline,250,9000,37,37
1,inline,250,9500,149,149
1,inline,250,10000,0,0
1,inline,250,10500,0,0
1,inline,250,11000,0,0
1,inline,250,11500,0,0
1,inline,250,12000,0,0
1,inline,250,12500,0,0
1,inline,250,13000,0,0
1,inline,250,13500,0,0
1,inline,250,14000,0,0
1,inline,250,14500,0,0
1,inline,250,15000,0,0
1,inline,250,15500,0,0
1,inline,1000,0,57310,57301
1,inline,1000,500,66,75
1,inline,1000,1000,19,19
1,inline,1000,1500,0,0
1,inline,1000,2000,56,56
1,inline,1000,2500,29,29
1,inline,1000,3000,159,159
1,inline,1000,3500,37,28
1,inline,1000,4000,11,20
1,inline,1000,4500,0,0
1,inline,1000,5000,19,19
1,inline,1000,5500,48,48
1,inline,1000,6000,9,9
1,inline,1000,6500,19,19
1,inline,1000,7000,9,9
1,inline,1000,7500,9,9
1,inline,1000,8000,37,37
1,inline,1000,8500,9,9
1,inline,1000,9000,9,9
1,inline,1000,9500,37,37
1,inline,1000,10000,0,0
