replicate,mode,period_ms,seconds,acquisition_releases,on_time,late,skipped,acquisition_misses,report_rows,dropped,completed,censored,max_pending,exception_log_truncated,all_passed
0,baseline,0,600,60000,60000,0,0,0,0,0,0,0,0,0,True
1,inline,100,600,60000,38813,0,21187,21187,6000,0,6000,0,1,20187,True
1,inline,250,600,60000,51556,0,8444,8444,2400,0,2400,0,1,7444,True
1,inline,1000,600,60000,57892,0,2108,2108,600,0,600,0,1,1108,True
1,worker,100,600,60000,60000,0,0,0,6000,0,6000,0,1,0,True
1,worker,250,600,60000,60000,0,0,0,2400,0,2400,0,1,0,True
1,worker,1000,600,60000,60000,0,0,0,600,0,600,0,1,0,True
2,inline,100,600,60000,40042,0,19958,19958,6000,0,6000,0,1,18958,True
2,inline,250,600,60000,52044,0,7956,7956,2400,0,2400,0,1,6956,True
2,inline,1000,600,60000,58012,0,1988,1988,600,0,600,0,1,988,True
2,worker,100,600,60000,60000,0,0,0,6000,0,6000,0,1,0,True
2,worker,250,600,60000,60000,0,0,0,2400,0,2400,0,1,0,True
2,worker,1000,600,60000,60000,0,0,0,600,0,600,0,1,0,True
3,inline,100,600,60000,38522,93,21385,21478,6000,0,6000,0,1,20478,True
3,inline,250,600,60000,51571,0,8429,8429,2400,0,2400,0,1,7429,True
3,inline,1000,600,60000,57898,0,2102,2102,600,0,600,0,1,1102,True
3,worker,100,600,60000,60000,0,0,0,6000,0,6000,0,1,0,True
3,worker,250,600,60000,60000,0,0,0,2400,0,2400,0,1,0,True
3,worker,1000,600,60000,60000,0,0,0,600,0,600,0,1,0,True
