board,run,mode,period_ms,replicate,released,acquisition_released,executed,skipped,late,max_response_us,max_pending,release_lag_max_us,exceptions_total,exceptions_stored,stack_unused_core0,stack_unused_core1
rp2040_1,run_00,baseline,0,0,0,60000,60000,0,0,170,0,0,0,0,59352,61384
rp2040_1,run_01,worker,250,1,2400,60000,60000,0,0,1829,5,86,0,0,59352,9520
rp2040_1,run_02,inline,250,1,2400,60000,17864,42136,28,10209,5,59,42164,1000,8900,61384
rp2040_1,run_03,worker,100,1,6000,60000,60000,0,0,1868,8,89,0,0,59352,9520
rp2040_1,run_04,worker,1000,1,600,60000,60000,0,0,1763,1,41,0,0,59352,9520
rp2040_1,run_05,inline,1000,1,600,60000,49893,10107,2,10171,1,41,10109,1000,8908,61384
rp2040_1,run_06,inline,100,1,6000,60000,3215,56785,58,10215,8,59,56843,1000,8900,61384
rp2040_1,run_07,worker,1000,2,600,60000,60000,0,0,1511,1,40,0,0,59352,9520
rp2040_1,run_08,worker,100,2,6000,60000,60000,0,0,1886,8,97,0,0,59352,9520
rp2040_1,run_09,inline,250,2,2400,60000,19613,40387,25,10199,6,63,40412,1000,8900,61384
rp2040_1,run_10,inline,100,2,6000,60000,3315,56685,58,10200,8,62,56743,1000,8900,61384
rp2040_1,run_11,inline,1000,2,600,60000,50119,9881,5,10170,1,41,9886,1000,8908,61384
rp2040_1,run_12,worker,250,2,2400,60000,60000,0,0,1890,6,82,0,0,59352,9520
rp2040_1,run_13,worker,250,3,2400,60000,60000,0,0,1918,4,92,0,0,59352,9520
rp2040_1,run_14,inline,1000,3,600,60000,49798,10202,5,10021,1,41,10207,1000,8908,61384
rp2040_1,run_15,worker,1000,3,600,60000,60000,0,0,1425,1,40,0,0,59352,9520
rp2040_1,run_16,inline,250,3,2400,60000,17769,42231,37,10201,4,57,42268,1000,8900,61384
rp2040_1,run_17,worker,100,3,6000,60000,60000,0,0,1914,8,81,0,0,59352,9520
rp2040_1,run_18,inline,100,3,6000,60000,3242,56758,55,10216,8,61,56813,1000,8900,61384
rp2040_2,run_00,baseline,0,0,0,60000,60000,0,0,170,0,0,0,0,59352,61384
rp2040_2,run_01,worker,250,1,2400,60000,60000,0,0,1831,5,86,0,0,59352,9520
rp2040_2,run_02,inline,250,1,2400,60000,17859,42141,26,10203,5,58,42167,1000,8900,61384
rp2040_2,run_03,worker,100,1,6000,60000,60000,0,0,1841,8,93,0,0,59352,9520
rp2040_2,run_04,worker,1000,1,600,60000,60000,0,0,1746,1,49,0,0,59352,9520
rp2040_2,run_05,inline,1000,1,600,60000,49889,10111,4,10162,1,42,10115,1000,8908,61384
rp2040_2,run_06,inline,100,1,6000,60000,3237,56763,58,10203,8,61,56821,1000,8900,61384
rp2040_2,run_07,worker,1000,2,600,60000,60000,0,0,1541,1,48,0,0,59352,9520
rp2040_2,run_08,worker,100,2,6000,60000,60000,0,0,1900,8,91,0,0,59352,9520
rp2040_2,run_09,inline,250,2,2400,60000,19599,40401,33,10204,6,57,40434,1000,8900,61384
rp2040_2,run_10,inline,100,2,6000,60000,3299,56701,74,10214,8,62,56775,1000,8900,61384
rp2040_2,run_11,inline,1000,2,600,60000,50128,9872,6,10191,1,41,9878,1000,8908,61384
rp2040_2,run_12,worker,250,2,2400,60000,60000,0,0,1873,6,88,0,0,59352,9520
rp2040_2,run_13,worker,250,3,2400,60000,60000,0,0,1911,4,81,0,0,59352,9520
rp2040_2,run_14,inline,1000,3,600,60000,49788,10212,7,10114,1,42,10219,1000,8908,61384
rp2040_2,run_15,worker,1000,3,600,60000,60000,0,0,1465,1,49,0,0,59352,9520
rp2040_2,run_16,inline,250,3,2400,60000,17751,42249,39,10205,4,60,42288,1000,8900,61384
rp2040_2,run_17,worker,100,3,6000,60000,60000,0,0,1930,8,89,0,0,59352,9520
rp2040_2,run_18,inline,100,3,6000,60000,3234,56766,71,10213,8,59,56837,1000,8900,61384
