board,run,mode,period_ms,replicate,bin,count
rp2040_1,run_00,baseline,0,0,0,0
rp2040_1,run_00,baseline,0,0,1,60000
rp2040_1,run_00,baseline,0,0,2,0
rp2040_1,run_00,baseline,0,0,3,0
rp2040_1,run_00,baseline,0,0,4,0
rp2040_1,run_00,baseline,0,0,5,0
rp2040_1,run_00,baseline,0,0,6,0
rp2040_1,run_00,baseline,0,0,7,0
rp2040_1,run_00,baseline,0,0,8,0
rp2040_1,run_00,baseline,0,0,9,0
rp2040_1,run_00,baseline,0,0,10,0
rp2040_1,run_00,baseline,0,0,11,0
rp2040_1,run_00,baseline,0,0,12,0
rp2040_1,run_00,baseline,0,0,13,0
rp2040_1,run_00,baseline,0,0,14,0
rp2040_1,run_00,baseline,0,0,15,0
rp2040_1,run_00,baseline,0,0,16,0
rp2040_1,run_00,baseline,0,0,17,0
rp2040_1,run_00,baseline,0,0,18,0
rp2040_1,run_00,baseline,0,0,19,0
rp2040_1,run_00,baseline,0,0,20,0
rp2040_1,run_00,baseline,0,0,21,0
rp2040_1,run_00,baseline,0,0,22,0
rp2040_1,run_00,baseline,0,0,23,0
rp2040_1,run_00,baseline,0,0,24,0
rp2040_1,run_00,baseline,0,0,25,0
rp2040_1,run_00,baseline,0,0,26,0
rp2040_1,run_00,baseline,0,0,27,0
rp2040_1,run_00,baseline,0,0,28,0
rp2040_1,run_00,baseline,0,0,29,0
rp2040_1,run_00,baseline,0,0,30,0
rp2040_1,run_00,baseline,0,0,31,0
rp2040_1,run_00,baseline,0,0,32,0
rp2040_1,run_00,baseline,0,0,33,0
rp2040_1,run_00,baseline,0,0,34,0
rp2040_1,run_00,baseline,0,0,35,0
rp2040_1,run_00,baseline,0,0,36,0
rp2040_1,run_00,baseline,0,0,37,0
rp2040_1,run_00,baseline,0,0,38,0
rp2040_1,run_00,baseline,0,0,39,0
rp2040_1,run_00,baseline,0,0,40,0
rp2040_1,run_00,baseline,0,0,41,0
rp2040_1,run_00,baseline,0,0,42,0
rp2040_1,run_00,baseline,0,0,43,0
rp2040_1,run_00,baseline,0,0,44,0
rp2040_1,run_00,baseline,0,0,45,0
rp2040_1,run_00,baseline,0,0,46,0
rp2040_1,run_00,baseline,0,0,47,0
rp2040_1,run_00,baseline,0,0,48,0
rp2040_1,run_00,baseline,0,0,49,0
rp2040_1,run_00,baseline,0,0,50,0
rp2040_1,run_00,baseline,0,0,51,0
rp2040_1,run_00,baseline,0,0,52,0
rp2040_1,run_00,baseline,0,0,53,0
rp2040_1,run_00,baseline,0,0,54,0
rp2040_1,run_00,baseline,0,0,55,0
rp2040_1,run_00,baseline,0,0,56,0
rp2040_1,run_00,baseline,0,0,57,0
rp2040_1,run_00,baseline,0,0,58,0
rp2040_1,run_00,baseline,0,0,59,0
rp2040_1,run_00,baseline,0,0,60,0
rp2040_1,run_00,baseline,0,0,61,0
rp2040_1,run_00,baseline,0,0,62,0
rp2040_1,run_00,baseline,0,0,63,0
rp2040_1,run_00,baseline,0,0,64,0
rp2040_1,run_00,baseline,0,0,65,0
rp2040_1,run_00,baseline,0,0,66,0
rp2040_1,run_00,baseline,0,0,67,0
rp2040_1,run_00,baseline,0,0,68,0
rp2040_1,run_00,baseline,0,0,69,0
rp2040_1,run_00,baseline,0,0,70,0
rp2040_1,run_00,baseline,0,0,71,0
rp2040_1,run_00,baseline,0,0,72,0
rp2040_1,run_00,baseline,0,0,73,0
rp2040_1,run_00,baseline,0,0,74,0
rp2040_1,run_00,baseline,0,0,75,0
rp2040_1,run_00,baseline,0,0,76,0
rp2040_1,run_00,baseline,0,0,77,0
rp2040_1,run_00,baseline,0,0,78,0
rp2040_1,run_00,baseline,0,0,79,0
rp2040_1,run_00,baseline,0,0,80,0
rp2040_1,run_00,baseline,0,0,81,0
rp2040_1,run_00,baseline,0,0,82,0
rp2040_1,run_00,baseline,0,0,83,0
rp2040_1,run_00,baseline,0,0,84,0
rp2040_1,run_00,baseline,0,0,85,0
rp2040_1,run_00,baseline,0,0,86,0
rp2040_1,run_00,baseline,0,0,87,0
rp2040_1,run_00,baseline,0,0,88,0
rp2040_1,run_00,baseline,0,0,89,0
rp2040_1,run_00,baseline,0,0,90,0
rp2040_1,run_00,baseline,0,0,91,0
rp2040_1,run_00,baseline,0,0,92,0
rp2040_1,run_00,baseline,0,0,93,0
rp2040_1,run_00,baseline,0,0,94,0
rp2040_1,run_00,baseline,0,0,95,0
rp2040_1,run_00,baseline,0,0,96,0
rp2040_1,run_00,baseline,0,0,97,0
rp2040_1,run_00,baseline,0,0,98,0
rp2040_1,run_00,baseline,0,0,99,0
rp2040_1,run_00,baseline,0,0,100,0
rp2040_1,run_00,baseline,0,0,101,0
rp2040_1,run_01,worker,250,1,0,0
rp2040_1,run_01,worker,250,1,1,55627
rp2040_1,run_01,worker,250,1,2,1340
rp2040_1,run_01,worker,250,1,3,1138
rp2040_1,run_01,worker,250,1,4,184
rp2040_1,run_01,worker,250,1,5,65
rp2040_1,run_01,worker,250,1,6,1419
rp2040_1,run_01,worker,250,1,7,44
rp2040_1,run_01,worker,250,1,8,49
rp2040_1,run_01,worker,250,1,9,23
rp2040_1,run_01,worker,250,1,10,13
rp2040_1,run_01,worker,250,1,11,12
rp2040_1,run_01,worker,250,1,12,12
rp2040_1,run_01,worker,250,1,13,15
rp2040_1,run_01,worker,250,1,14,14
rp2040_1,run_01,worker,250,1,15,11
rp2040_1,run_01,worker,250,1,16,12
rp2040_1,run_01,worker,250,1,17,21
rp2040_1,run_01,worker,250,1,18,1
rp2040_1,run_01,worker,250,1,19,0
rp2040_1,run_01,worker,250,1,20,0
rp2040_1,run_01,worker,250,1,21,0
rp2040_1,run_01,worker,250,1,22,0
rp2040_1,run_01,worker,250,1,23,0
rp2040_1,run_01,worker,250,1,24,0
rp2040_1,run_01,worker,250,1,25,0
rp2040_1,run_01,worker,250,1,26,0
rp2040_1,run_01,worker,250,1,27,0
rp2040_1,run_01,worker,250,1,28,0
rp2040_1,run_01,worker,250,1,29,0
rp2040_1,run_01,worker,250,1,30,0
rp2040_1,run_01,worker,250,1,31,0
rp2040_1,run_01,worker,250,1,32,0
rp2040_1,run_01,worker,250,1,33,0
rp2040_1,run_01,worker,250,1,34,0
