board,run,mode,period_ms,replicate,seconds,iterations
rp2040_1,run_00,baseline,0,0,600,1380
rp2040_1,run_01,worker,250,1,600,1380
rp2040_1,run_02,inline,250,1,600,1380
rp2040_1,run_03,worker,100,1,600,1380
rp2040_1,run_04,worker,1000,1,600,1380
rp2040_1,run_05,inline,1000,1,600,1380
rp2040_1,run_06,inline,100,1,600,1380
rp2040_1,run_07,worker,1000,2,600,1380
rp2040_1,run_08,worker,100,2,600,1380
rp2040_1,run_09,inline,250,2,600,1380
rp2040_1,run_10,inline,100,2,600,1380
rp2040_1,run_11,inline,1000,2,600,1380
rp2040_1,run_12,worker,250,2,600,1380
rp2040_1,run_13,worker,250,3,600,1380
rp2040_1,run_14,inline,1000,3,600,1380
rp2040_1,run_15,worker,1000,3,600,1380
rp2040_1,run_16,inline,250,3,600,1380
rp2040_1,run_17,worker,100,3,600,1380
rp2040_1,run_18,inline,100,3,600,1380
rp2040_2,run_00,baseline,0,0,600,1380
rp2040_2,run_01,worker,250,1,600,1380
rp2040_2,run_02,inline,250,1,600,1380
rp2040_2,run_03,worker,100,1,600,1380
rp2040_2,run_04,worker,1000,1,600,1380
rp2040_2,run_05,inline,1000,1,600,1380
rp2040_2,run_06,inline,100,1,600,1380
rp2040_2,run_07,worker,1000,2,600,1380
rp2040_2,run_08,worker,100,2,600,1380
rp2040_2,run_09,inline,250,2,600,1380
rp2040_2,run_10,inline,100,2,600,1380
rp2040_2,run_11,inline,1000,2,600,1380
rp2040_2,run_12,worker,250,2,600,1380
rp2040_2,run_13,worker,250,3,600,1380
rp2040_2,run_14,inline,1000,3,600,1380
rp2040_2,run_15,worker,1000,3,600,1380
rp2040_2,run_16,inline,250,3,600,1380
rp2040_2,run_17,worker,100,3,600,1380
rp2040_2,run_18,inline,100,3,600,1380
